mbr+ spr+ brc
3575 83507 11
2801 295194 4
3824 34490 11
5868 173524 6
1244 370909 5
2786 266385 6
3229 390958 2
672 366182 2
4764 68232 3
9169 335983 10
9033 379150 11
9985 341761 2
2468 100806 5
6509 269711 6
7415 27026 2
3337 274459 11
7021 238078 5
2209 102673 2
8667 499673 1
3712 56833 6
3274 430200 11
4462 460428 5
1377 231082 11
2775 164965 8
1004 144062 4
6985 66341 9
3469 188896 10
1707 482088 3
5029 162630 11
924 296486 7
609 361863 1
7130 427402 11
9248 131781 7
3208 40745 8
337 230640 6
19 159917 2
8479 326162 1
7720 329573 8
5333 197198 3
3162 9102 3
3739 331160 9
6073 281874 8
7605 485422 7
3319 277047 4
750 371160 6
635 114040 4
2512 58409 7
1704 73443 7
7522 415847 5
862 145036 9
5954 397945 9
7193 334044 9
5027 439525 10
3921 21324 7
9635 300477 5
3370 403005 2
9683 431196 2
5941 345327 8
5681 240673 4
7578 88093 1
5317 133888 2
2271 130568 6
2422 354923 7
1798 267778 5
9728 323706 1
1054 321826 11
2292 271756 1
2897 97183 4
2693 450892 3
1647 373923 4
2260 255858 2
1232 434569 3
2395 267124 4
1211 194415 8
2098 296323 1
1045 132117 7
2307 156741 5
5265 180894 6
1225 441184 11
9896 272378 7
9853 109080 11
6508 446789 7
2712 461170 7
6177 284706 2
1117 467111 6
6455 214001 4
303 215093 7
6624 224661 5
1085 477986 1
341 179144 10
2339 471405 7
9462 380979 11
4796 244723 10
3374 475274 3
1891 344737 9
725 160022 2
916 154520 9
7237 241912 1
9392 293491 1
7613 138447 2
2469 337821 4
9839 42901 3
3725 443448 11
9292 230387 3
9245 39347 8
1247 71760 7
7309 89031 11
3082 381712 6
3967 359614 6
9203 239056 11
5105 43814 8
7521 367656 4
8362 13449 9
421 446611 8
5024 464370 1
5882 265773 9
957 139492 4
6877 9563 11
5571 64836 10
7786 180164 8
2107 448637 9
6173 257747 6
5419 340925 8
5358 411283 7
9484 326702 10
6923 172547 4
4331 477814 2
8471 343584 11
5817 291948 10
9700 417222 9
6475 422047 7
7980 234217 11
1785 425359 9
6804 193339 2
735 18577 5
2771 214837 9
6288 212727 3
9155 181200 1
6899 284943 3
335 260023 5
572 173293 1
4836 223214 8
6559 96472 1
5981 453191 8
1956 191722 4
6155 198184 2
6889 347271 4
5816 446107 4
5488 410054 3
2771 300249 4
616 3151 3
7981 386180 4
7154 371597 7
7447 55703 2
6668 118028 2
8409 185571 2
2681 167432 2
6701 125242 1
549 234854 1
3371 415429 4
5022 412203 10
5358 65383 1
9280 417757 11
5711 365794 2
602 497592 11
3428 246574 7
4612 331582 1
4067 188436 8
8779 320261 9
8092 310969 6
8894 300190 4
7875 67946 4
3227 472993 7
7433 290501 2
3183 110015 2
4230 463060 11
1488 409859 6
7172 304137 2
5128 121105 1
4831 351638 5
6060 142085 5
8785 484355 2
5503 492388 4
9741 403409 3
9570 261583 8
5725 169765 9
2500 252810 1
5904 350250 2
1180 291551 8
7956 55854 4
8816 68299 6
631 100141 1
6100 442036 7
2329 461900 1
3586 25398 11
5527 301203 8
6511 367977 3
8288 96163 8
684 34939 7
8533 336094 2
69 82514 1
6435 155730 9
7306 432297 4
6431 68438 5
1770 15127 6
9827 491816 10
3358 435491 11
7685 292921 2
7264 443635 3
1929 252828 4
8689 2058 4
2394 127526 3
8207 453796 11
7605 200118 10
9421 304636 1
3485 81701 4
3092 341006 4
237 43445 4
9072 412413 2
5414 6331 11
3971 86874 3
3734 304484 1
1670 145474 9
1724 175427 2
7458 195412 4
7131 430925 4
760 127918 1
2019 15278 10
8406 268472 3
143 29157 7
3580 332350 2
1714 34956 7
690 326246 6
6627 243901 8
9967 374270 4
2204 219317 8
8191 316774 6
1206 391287 6
4658 245022 3
4865 405519 3
2447 58830 7
805 330389 6
8782 285433 2
9987 73082 11
4835 384371 2
4385 153758 6
2258 272514 8
6392 222685 5
2193 208755 10
1495 432224 5
5790 47772 6
9082 422638 4
473 6455 3
8258 39550 3
1916 150868 7
4485 84772 7
8986 452784 6
8262 485613 5
9383 339588 4
9501 230357 4
9972 361979 3
6245 381635 3
5171 22838 9
4557 44759 6
846 468225 2
980 205409 6
9301 462532 4
5586 410515 9
9906 332420 2
6983 354562 9
3724 142680 8
2403 279723 4
2104 248963 8
7822 272142 10
3942 209881 6
8322 442636 8
3223 1555 1
7528 62631 3
7256 165389 5
4869 441231 9
8885 397572 10
9873 122522 8
9907 448119 7
3046 86869 5
9405 203471 10
5151 38796 1
521 297287 7
4774 355001 5
4111 450721 11
8842 77333 1
9426 417220 8
8390 124922 9
7807 138039 9
6421 10971 8
4908 321972 1
558 355037 3
9850 266505 6
9753 125059 11
7751 101761 4
9401 112989 2
1290 373109 6
8326 202169 6
3728 51339 9
5035 436013 11
1887 207725 7
2144 449566 8
1476 223010 8
4324 457935 3
5454 322657 7
6458 398371 10
5710 332605 11
9984 302513 7
3320 471060 2
5934 164771 1
8350 490909 11
4869 187378 1
6116 361683 11
7388 7169 5
5906 389091 6
1587 239529 7
1694 346232 3
7959 153046 4
4395 342969 2
415 110365 7
6226 214829 5
4594 25981 5
9880 282824 7
6799 335851 10
8187 157963 6
9948 92484 2
5331 150173 9
3729 240705 8
1203 173707 4
4575 439332 11
1437 263715 9
5059 278726 6
9024 246337 6
9393 155382 2
5523 48821 11
4810 143934 10
4210 200756 9
488 246641 2
8768 397200 9
953 343304 3
8240 144032 6
4714 192794 6
8042 48334 6
4374 96674 8
4855 85383 6
440 203205 9
758 497487 4
4270 91580 1
7355 321222 8
857 402048 8
4929 184053 2
4364 81938 10
587 161593 10
5250 23177 2
3265 462043 9
2371 167816 4
2431 94161 3
2638 38856 6
2220 385395 5
1210 452532 6
2803 127512 3
573 274224 6
9036 312953 6
8880 482882 5
9254 322479 9
2589 318831 1
477 206281 6
6430 43274 4
9997 356877 1
9907 85947 11
1356 351273 3
9211 277945 7
5024 90323 9
7386 193253 1
1333 295679 6
1085 126986 2
5606 417743 11
8262 186418 2
3296 259954 5
2740 112657 9
132 462586 4
8713 246261 10
59 208768 4
8617 10621 6
9685 185122 4
5254 41040 10
624 118271 9
472 255530 1
3152 497112 11
7069 459537 7
6419 383430 2
9686 87929 11
9769 319862 3
3741 62610 1
8388 361370 6
3142 80038 7
2189 18572 2
7380 274167 11
2229 113013 5
3961 19807 4
5812 477441 8
1807 426099 6
471 448459 7
1246 126005 4
1330 137941 10
6834 206746 1
7308 484255 7
9043 323070 7
6165 117428 6
6638 49603 1
8455 295175 3
1132 47514 6
2961 281197 11
7034 143875 8
9840 158565 8
3665 283121 9
3899 96385 9
1947 78960 2
9630 140264 10
6360 5279 8
933 230536 1
2101 164892 9
1352 54582 11
2698 429041 4
4453 263490 5
1258 473538 11
7618 238632 1
4609 337087 2
4130 316025 8
9954 374665 10
5008 469886 4
4357 396381 6
1747 215379 3
5776 236484 3
1321 9995 10
1931 244172 7
1735 258801 8
1597 129317 5
9208 101146 7
1927 29968 8
5998 62366 8
311 136330 7
4669 88817 7
6448 232687 3
236 415095 3
9283 90386 1
9775 431237 11
2834 49830 2
5949 320475 1
366 53552 11
3445 272307 8
9375 346986 10
4754 189098 2
4288 173730 10
7949 179640 5
406 66915 9
6810 97817 6
4148 8295 10
5642 361397 2
6422 236669 7
8927 463305 5
1143 282578 8
8668 341262 11
6402 80760 11
6822 265067 11
6485 25491 6
7520 386105 11
3858 446270 7
2783 421322 2
2265 121780 1
68 274027 2
3919 22440 10
6422 467532 3
7409 28789 7
6417 419850 5
4499 295803 11
2203 250195 2
9577 265104 11
8923 277488 4
7906 448396 5
5046 450484 7
2182 444103 1
2617 6630 1
4951 256226 6
5247 304100 5
6223 401202 2
5920 320297 1
8057 59663 6
4639 79524 11
5392 335809 5
5840 251175 3
7286 297280 8
9173 439303 7
3551 306751 11
4303 462346 11
2192 113665 1
9277 480970 1
641 108986 6
5303 269505 7
1004 74998 7
3388 67772 7
662 339805 9
9076 481229 11
250 154380 8
1619 484924 10
7128 236902 10
718 49326 8
4421 370544 6
2763 180830 3
2066 296474 8
6396 329193 10
7398 4218 10
5303 295775 3
1728 156100 7
6639 59526 6
8592 171996 3
9772 425779 1
6872 187059 7
312 107982 9
10 475450 3
1617 489203 3
5361 150000 1
3562 433636 5
786 130829 1
1477 347652 10
6215 2343 3
3984 69857 10
4629 70415 10
9471 463031 3
534 31015 5
2439 64316 7
1786 404188 11
1988 374027 8
4395 143900 4
9248 473497 11
2880 374586 10
7015 206150 3
8409 488280 5
1941 417297 4
2496 195644 7
2719 494443 4
5709 318561 9
5588 204379 1
8072 194817 9
5323 385148 1
7941 204434 9
1562 245072 6
1030 350920 6
9623 219352 8
6426 352872 5
6328 254600 11
1426 130827 2
284 106806 11
7218 256834 2
5738 329580 6
8635 406335 7
9963 433643 11
195 63324 3
7596 341062 10
4280 137241 8
5126 408790 7
6107 368749 5
6287 196870 3
5759 186294 1
7123 13561 11
7922 399997 11
2582 481312 8
5902 14573 1
7741 379843 11
5127 301983 3
3283 170079 11
938 493616 9
1293 281555 11
7406 428199 1
3115 462531 11
9285 469919 10
4433 426380 10
1904 431974 5
8144 402583 5
1300 429868 8
9095 290212 2
7887 197490 2
5962 160606 6
6114 299405 1
4909 368911 6
2061 422562 3
7415 65274 4
8880 286159 3
2584 235226 1
2780 12405 9
1953 75130 9
3129 164989 8
6433 39769 6
9337 162827 10
6802 282814 4
5887 318138 4
6133 40657 1
258 293873 2
4853 463030 8
9856 358152 10
1914 234038 2
1708 413399 4
2076 70554 4
876 114972 8
545 5814 6
9625 215834 7
4522 249636 3
5156 56619 10
3792 48890 9
7337 69121 11
1788 485729 1
2483 420786 3
5114 144094 5
2192 434541 6
3615 419272 11
7203 322971 5
1072 410806 8
955 495218 1
689 125776 2
9423 91806 11
5058 74884 4
6891 215725 9
3103 238421 7
2789 102924 2
5588 70599 6
8558 124961 9
9177 239455 11
9586 467525 1
9863 499470 6
1748 212489 9
5693 328794 9
2779 456990 8
3170 436104 9
2143 9260 8
5488 423826 11
2945 494038 7
7613 181118 5
2577 479299 4
5624 119081 3
232 215049 2
598 276563 9
3252 473811 6
3742 479161 10
8538 13772 5
1200 13131 11
1930 405202 4
3322 269007 8
9046 396745 3
6407 27279 9
496 105915 8
4300 477559 7
1098 359021 4
3022 266400 4
6872 69810 6
334 212892 8
9216 61789 7
8110 474696 11
6904 379355 10
2129 390941 1
8385 52815 11
334 35317 10
8929 171621 11
9450 124155 10
9599 219942 1
5051 363104 10
1934 108 3
8343 98719 11
5069 400879 4
1917 453384 6
4165 18604 1
397 131347 6
6792 372691 8
4232 87004 7
8658 371886 10
4803 376334 10
1428 98972 5
9830 214124 4
9485 494489 4
1503 477154 4
2098 243531 4
1883 330684 10
9540 201832 11
6248 468123 6
2040 444615 6
1583 496054 6
8640 19869 2
329 277421 3
6163 162597 5
5036 185902 6
1548 48680 9
6247 298215 4
9472 118704 8
5906 150657 3
2259 150820 9
3489 144710 11
8979 204629 5
872 4134 7
7392 421643 6
680 187339 1
544 293284 10
1503 427743 4
5635 203960 1
496 317751 8
1417 215394 11
7543 346492 2
4332 251505 6
5426 111676 11
8953 167936 11
8877 84505 4
9386 12801 7
3650 399692 11
3039 310898 10
6845 211521 9
2344 418498 5
8049 207914 11
5161 468180 2
9562 178555 11
8221 376070 10
4839 4772 11
751 292333 9
8241 329956 3
8657 320991 5
4236 120186 3
4943 231971 2
6440 107364 11
1092 267020 6
3933 117264 9
1169 103732 6
5389 257667 4
7433 372728 9
1209 437323 9
2192 432725 5
1720 10888 2
1603 426836 9
9911 54127 11
4076 471094 5
1597 348295 11
6691 173199 7
1451 70231 4
813 160079 10
129 76263 3
5737 266140 6
6802 99256 4
