spr+ ruk trajanje
116729 32 6
192535 33 8
97029 30 11
1708 38 6
200555 21 8
165645 36 10
11588 36 4
366458 32 2
99301 3 5
292924 6 1
51785 28 8
425115 36 6
253892 30 7
320124 36 7
336618 30 9
458321 23 7
194995 41 2
354354 34 10
453600 30 9
397388 32 5
215599 23 8
469545 23 3
213070 10 9
280386 47 10
438749 31 7
318151 45 8
104333 32 8
469540 1 2
404467 10 6
290503 8 10
235336 45 11
135411 17 6
163524 10 3
269890 19 7
489301 23 5
495735 10 9
63331 36 11
474342 48 9
175614 42 6
57580 44 11
302407 38 3
246791 44 1
499956 41 1
53612 49 8
103173 21 9
377857 49 6
388212 27 4
84166 18 1
419455 5 8
16223 39 8
384678 32 2
123752 33 10
5535 3 9
153761 32 6
326662 34 7
327313 13 5
327935 33 11
342502 24 10
97735 32 8
82013 9 6
268747 43 2
294268 27 1
349938 13 4
463791 10 1
121215 32 5
29415 33 1
133470 14 1
44353 10 1
45667 36 1
121127 26 9
203469 7 6
150830 24 4
257705 28 11
42571 45 8
54366 4 9
381515 46 4
283548 8 3
86479 23 8
263582 30 10
437268 18 8
90464 17 7
348905 33 11
66818 42 11
274061 28 9
29789 6 7
186731 11 10
19820 49 8
443291 20 5
272560 46 9
230541 2 2
180552 25 9
497659 23 11
338473 25 5
280570 42 7
38318 12 6
93296 47 7
267071 38 8
455388 3 5
364170 39 3
362354 18 8
486127 40 1
53852 38 10
373539 38 3
412119 11 6
21374 45 11
326192 22 7
287846 9 6
240648 19 3
165298 29 11
179132 7 5
104056 18 9
408049 31 5
256855 26 1
202843 25 3
177997 10 7
78680 27 8
304449 31 9
177667 8 9
85608 12 1
268560 47 9
398814 40 10
95065 11 8
393611 16 3
2397 38 2
488254 30 5
249122 11 6
56582 26 3
46179 34 9
92979 7 2
225091 37 4
178650 24 8
443263 16 11
452332 42 10
380095 20 6
187251 39 7
392635 1 8
90628 39 7
41292 16 1
128230 48 2
266327 6 4
66569 24 5
132888 39 1
342223 8 1
290837 19 11
499078 24 9
96625 38 1
91330 25 9
242169 43 5
227204 38 2
95171 3 9
442345 5 6
261011 37 9
283658 11 5
181505 3 6
430365 21 5
79579 8 7
266149 19 10
250571 25 6
226206 13 1
293109 13 5
216491 33 3
67448 13 6
338360 23 1
318866 20 8
242317 26 3
101875 19 9
314789 33 8
321282 1 2
75342 18 7
152539 46 6
265716 33 8
179038 36 10
353202 38 5
31424 14 8
73897 4 6
465726 8 1
85745 16 3
345210 39 1
287269 27 6
153277 45 2
235108 5 5
64030 14 9
183665 22 8
118988 13 5
178738 8 1
85631 40 11
372661 8 3
492556 44 11
88348 23 2
112870 30 7
416662 46 11
435427 23 9
71135 18 6
317902 10 9
310146 21 10
282682 48 9
196094 25 4
28916 15 10
328682 11 10
196468 37 4
18357 8 8
88121 20 11
45839 42 9
454371 34 2
440395 22 9
412159 27 9
73481 10 4
31829 18 11
349347 47 6
432217 41 6
112308 48 1
381079 28 2
186796 45 2
54139 29 2
267313 24 6
66501 48 7
276640 3 1
76177 14 11
211095 24 1
134434 34 8
107610 46 6
358973 12 4
105660 20 9
320730 35 10
277008 31 2
164662 31 2
66779 28 1
111611 36 8
180442 41 9
112057 39 8
24683 32 9
49902 30 11
169149 11 7
266730 25 9
94227 29 8
324897 6 4
200322 48 5
248888 31 1
428519 8 7
453222 12 7
367521 10 2
237843 5 10
467163 7 8
90243 30 10
443387 3 4
153810 22 2
382137 19 9
120248 20 5
394379 7 10
216888 33 5
321182 26 6
19408 10 3
271897 43 2
296065 30 5
45733 3 1
446373 21 1
421489 10 3
98887 7 7
485613 15 9
426142 1 5
106942 5 2
229884 40 3
16290 42 1
312566 34 11
453939 19 4
1232 14 11
74123 39 9
494026 41 6
46558 44 9
382712 19 8
169310 10 2
336122 48 10
317388 31 8
326025 10 7
60544 11 3
160502 45 4
314334 7 3
464050 25 5
115220 29 8
322649 48 6
111375 32 2
70942 37 8
310942 40 4
4475 38 2
243935 16 6
263670 25 4
328596 42 2
268946 7 10
313935 29 1
210942 12 1
441589 1 10
354671 43 10
137697 46 3
47441 1 7
280137 28 11
436139 22 1
152180 6 1
153925 49 7
113807 16 8
477808 18 2
72073 32 11
175740 30 11
194784 13 2
240660 13 5
138694 34 11
58971 42 11
414267 25 8
26941 28 5
219318 30 11
426499 23 10
445142 33 8
456819 48 7
439086 19 11
247555 20 3
389442 14 5
447773 23 7
222259 36 10
163174 47 1
377651 34 3
229886 38 4
123942 40 6
474368 11 11
266515 25 1
480412 42 1
324905 3 11
92428 19 2
6987 18 11
289655 20 6
363201 13 5
358611 10 5
419025 3 5
120613 13 9
69428 45 11
452211 11 7
257705 23 11
373328 40 1
489188 6 2
147880 27 10
101725 44 2
337211 31 5
91564 2 3
265455 29 4
346953 47 8
320935 36 11
295965 1 1
154825 18 1
225984 3 11
105933 24 1
268280 47 7
335848 41 6
218198 30 1
108287 25 6
302246 32 9
112985 14 2
304551 48 10
225821 43 11
23256 16 5
194484 40 9
199835 13 8
194215 49 8
67040 16 6
334059 21 2
391821 48 7
14143 34 6
234874 24 10
87448 34 8
407901 3 10
306055 8 11
157864 24 10
141911 26 8
451843 45 6
202622 13 11
14519 14 11
376369 15 1
176713 28 5
331976 28 5
231223 16 3
30946 27 5
293589 2 8
306628 49 11
24475 25 3
51450 36 4
17493 38 1
315515 20 9
452981 41 6
341452 39 5
457333 47 9
72294 26 2
484908 9 8
40142 17 6
434998 1 8
470157 19 3
117619 21 9
262800 40 2
389815 16 11
331917 32 2
336368 37 10
109740 42 11
436465 2 10
128725 29 10
39703 1 5
200057 29 1
203419 34 7
21981 27 9
168009 26 9
174772 47 11
72791 41 1
488641 30 4
128120 27 1
179574 9 2
155866 12 10
386328 39 6
363602 31 6
132577 41 7
301057 5 11
440106 16 9
78236 12 6
228977 5 7
490033 42 4
458887 47 6
435799 40 7
61670 5 3
467497 11 5
154571 48 6
470087 30 3
306216 16 4
67398 34 7
94904 41 11
49455 35 9
483868 42 10
273808 6 2
69668 3 8
435729 37 9
168767 19 10
89438 42 5
424050 26 5
308218 26 2
91955 26 10
28494 10 4
313488 25 2
35187 37 6
450410 28 10
370747 40 3
84804 27 11
423708 25 10
69426 41 7
211851 15 5
149575 8 1
46212 22 10
287027 42 5
433699 48 3
405607 40 4
152328 28 10
426481 7 6
367635 3 2
273804 28 2
32101 26 8
250952 21 10
445809 18 5
181517 13 9
331234 11 1
451661 8 6
48406 6 3
32629 36 2
96998 39 3
474605 38 9
498248 47 7
485816 45 7
31788 23 8
213659 24 1
232359 5 3
276089 4 10
423692 4 2
172035 11 8
361890 29 9
231443 26 9
112336 21 1
414871 44 5
350056 9 5
82050 24 6
429807 26 6
120775 4 9
364869 25 9
330857 22 4
264810 13 4
150104 15 9
36018 40 10
425749 1 10
200106 30 4
441721 7 9
63545 27 5
430381 7 3
398954 9 9
327270 6 1
148783 30 4
488368 32 9
135636 31 6
171624 40 9
284044 18 2
343847 17 2
134015 32 9
443764 5 6
204852 14 10
186655 28 1
246437 33 7
195150 35 8
146247 32 8
232397 1 3
416564 44 10
455563 12 1
195097 20 4
170426 16 8
385365 43 5
375070 16 1
172348 41 4
320266 10 3
108464 49 6
215590 5 10
111070 47 7
127553 14 9
463297 23 7
131458 49 8
183309 2 2
15740 35 10
190357 18 5
255287 43 10
155803 36 9
261240 3 3
248529 11 6
31987 43 5
14017 13 11
330609 9 4
134228 14 7
190011 2 11
332340 11 5
311209 15 4
76471 44 5
71634 22 8
394721 45 7
252355 8 5
187801 49 9
21163 31 4
42134 29 5
184730 43 5
226298 22 8
349764 2 6
124643 40 1
466665 3 8
142857 46 3
168736 39 1
469481 49 7
476107 7 5
141916 30 7
414569 15 1
99134 6 1
449292 46 7
497404 26 8
184799 28 10
204003 23 3
146797 41 8
208784 42 9
419357 40 5
231075 22 7
256630 6 3
252562 44 11
375878 19 4
442331 28 11
376294 48 6
496734 21 3
363238 28 10
109227 5 1
316898 35 4
399693 34 5
212386 9 11
216850 3 3
483291 44 1
100562 12 10
454232 45 8
196081 18 1
488063 20 8
190604 19 6
431738 25 8
70174 24 11
285394 13 8
134492 9 4
281757 16 5
182621 25 6
225385 23 5
14165 7 5
80668 33 4
321622 31 11
77404 46 2
58616 49 4
228858 13 9
137513 32 4
28909 10 3
203432 4 2
82006 20 1
403533 32 11
219608 2 7
419659 37 7
189062 47 2
244134 37 4
476772 26 8
388476 45 11
499133 4 1
139757 15 1
460047 6 8
435783 16 5
21960 28 4
102111 36 6
355890 8 1
288433 43 1
31922 26 5
485412 40 3
163708 26 11
215493 48 3
10718 7 2
239422 2 5
447028 16 5
384740 40 4
420834 44 10
243211 31 1
205156 36 9
176775 1 1
408691 25 8
170467 11 1
249483 2 2
85156 3 5
448572 8 4
54895 12 3
163966 27 6
34389 47 2
423176 6 7
306379 8 8
75945 14 10
226837 39 9
380494 11 5
28570 27 2
105541 41 4
138244 30 6
152130 17 10
249794 26 7
145233 9 3
40641 17 9
41830 7 6
121137 45 2
462495 41 3
246420 7 2
411057 35 4
381867 27 11
461660 21 5
62896 9 1
232824 14 2
47003 49 8
23627 23 11
413767 42 2
386353 30 5
444826 11 6
12696 12 11
472659 5 5
271282 11 3
3133 3 9
137660 35 11
129919 16 4
380109 39 10
149303 31 4
149113 48 9
223010 20 6
27310 20 4
20094 49 4
291251 17 10
216395 46 9
104115 28 3
90172 22 7
494240 7 5
236751 31 7
165878 29 3
254930 29 4
323278 9 6
181729 40 3
144117 23 1
76334 4 3
454567 3 1
58660 7 8
415839 47 5
28425 48 8
361475 44 11
360340 38 5
337268 30 2
138975 19 1
387951 2 4
483365 21 9
445626 44 7
365587 35 11
185694 33 1
454769 16 9
24393 14 11
167053 14 7
381787 2 5
359656 37 7
306073 42 7
317784 25 3
252142 36 2
369992 17 6
125316 48 2
39093 30 6
477310 10 4
408446 15 5
40445 8 8
395000 31 3
79131 39 8
74189 11 5
284566 21 6
324805 8 4
48721 41 10
265139 36 6
98610 39 1
72354 9 11
308915 18 2
123495 39 1
308323 21 8
318126 4 8
115641 25 9
99284 41 10
149452 7 10
136908 39 10
128937 14 1
385749 34 11
432071 35 2
381025 16 3
273562 21 9
253242 29 2
410479 43 3
350012 29 5
244595 5 11
182790 27 5
20237 46 2
260165 48 1
64202 49 10
210890 22 5
115099 36 9
287808 9 5
457497 18 6
343317 43 11
93893 9 6
72859 18 1
50470 45 6
346417 37 1
79213 36 6
73477 19 9
124238 11 3
10645 39 9
330227 36 6
429614 45 5
375824 26 6
302666 36 5
401310 40 1
356654 49 4
98348 30 10
17844 9 10
461836 22 8
184388 33 11
322072 24 7
163622 44 2
73304 16 9
33597 24 6
435392 11 10
327409 21 11
152339 38 9
437834 9 8
390499 13 4
359370 27 4
339437 6 11
144452 2 9
60226 46 10
21071 38 2
58431 36 11
6208 28 1
448602 26 10
319408 1 8
338562 2 11
205981 2 7
54446 18 8
473619 10 2
158725 7 11
176634 15 2
199515 30 7
479712 5 5
84562 29 2
97515 31 10
235942 24 2
458504 33 10
287722 38 8
254861 14 1
75443 21 8
325088 49 10
394771 44 7
215856 16 6
426948 48 1
82466 21 5
343740 21 3
353566 45 11
102522 2 5
372955 49 9
18615 49 3
231556 13 8
9851 27 3
382207 23 8
311691 25 3
263001 19 2
153354 27 2
275019 47 5
350616 42 2
32144 2 1
293042 16 9
195291 2 9
43342 20 1
462177 2 1
137719 41 4
208894 1 4
197839 43 2
498571 33 6
220222 48 6
145679 44 7
52600 22 2
332064 45 4
286022 25 3
156135 42 1
113966 9 3
351047 23 5
402329 48 10
308392 44 6
419272 17 11
193602 21 1
366902 4 11
103769 43 7
266808 11 5
396222 17 5
21060 21 3
133598 47 8
425776 41 4
360671 1 8
217772 37 9
452536 43 5
374799 22 11
77210 22 2
266036 29 5
389002 42 3
336753 31 5
99953 35 9
388257 47 4
490768 21 1
347210 25 5
388230 14 5
133512 29 11
164508 26 5
14381 36 8
280876 10 5
364764 14 6
50092 11 2
304930 2 1
27993 44 5
424105 36 6
73346 4 9
75298 13 8
183163 8 11
231588 22 8
434212 6 1
152309 21 5
259784 47 3
220209 41 9
173870 34 5
431491 10 9
111287 44 8
147162 37 9
403119 28 3
284908 39 7
239901 44 5
437734 46 2
498433 20 3
183485 6 9
111613 1 6
32187 23 6
419701 32 10
487789 46 8
33839 34 7
119908 28 3
149453 20 7
467669 12 1
398398 20 9
493350 9 5
187431 4 3
489329 21 5
60132 35 5
467334 2 9
79844 10 2
247329 18 1
323558 48 6
236293 28 9
259647 16 9
38243 7 5
496927 33 6
230085 26 4
371160 47 3
441714 27 4
316108 15 11
487476 23 6
445869 16 8
498671 19 8
179329 19 1
498965 44 5
290939 5 5
90775 29 1
383063 40 6
378855 11 9
238248 16 8
384636 40 6
42485 19 4
266993 49 2
148849 31 8
24043 28 8
488601 46 8
248268 16 1
260559 4 11
302915 5 2
255205 21 5
437504 15 7
200974 26 2
143131 32 1
214124 44 9
61909 21 3
177901 16 9
249768 35 5
68017 31 1
129588 23 2
432320 15 5
477881 33 5
5224 15 9
222753 20 10
480368 35 8
473390 20 5
46349 40 11
450466 38 3
274933 18 6
222520 10 11
360069 33 10
1455 15 1
32118 13 2
182678 7 10
229431 24 9
282226 16 6
214017 19 5
477505 24 10
36245 28 1
349905 20 11
294746 1 9
398176 23 11
211027 10 10
465275 42 9
317254 2 7
418598 30 2
458175 5 8
44441 18 5
215837 21 9
376222 14 4
488832 39 10
455475 2 11
221749 6 7
396988 45 3
374544 31 9
42902 2 3
29624 15 6
225295 8 5
417417 16 8
171238 5 5
92355 10 11
492285 33 5
383029 11 10
275189 8 1
188691 22 4
457608 19 8
291514 47 7
10686 2 8
302259 10 2
349037 27 5
318572 41 10
134352 30 9
254206 17 7
358944 48 3
73644 20 10
114771 33 4
397739 17 3
142849 47 3
360725 47 3
159098 21 5
459113 29 5
495716 49 3
232304 5 2
109770 13 2
11994 4 5
58795 27 3
400982 46 3
167753 43 10
283296 24 5
346650 27 10
459206 27 4
461100 19 7
40189 38 5
102523 31 11
454054 30 3
432368 15 10
373324 36 2
106391 6 4
306758 6 4
34788 33 9
467678 49 2
136307 6 8
103137 8 6
170310 9 5
43449 41 9
330882 7 3
186596 45 4
352439 16 4
244155 18 10
48657 19 4
142271 40 9
232864 5 1
123093 15 8
217418 20 7
462015 9 7
383441 11 3
109517 30 11
270958 36 5
458937 6 9
47103 46 5
84834 20 4
103444 3 5
30407 3 9
332546 26 7
436271 1 7
94535 3 4
336750 14 4
137298 34 2
147711 39 7
5005 22 11
245732 12 7
105794 15 9
4245 45 3
124900 28 7
468627 3 5
72503 27 3
380 31 11
390574 49 8
265122 31 7
318730 37 3
55623 19 5
244109 37 4
62737 39 6
286748 42 8
313230 14 6
235617 9 1
283348 49 5
270865 17 6
175168 38 4
112702 6 10
285564 48 5
481419 5 8
404430 8 6
179674 12 3
256183 44 4
98979 2 8
310375 42 9
211381 35 11
381600 17 5
321993 39 5
195158 45 4
360753 22 11
23711 6 4
167838 15 4
185253 25 10
365886 4 11
424829 36 1
144774 12 1
42649 12 7
386554 49 1
488734 38 7
288452 32 8
356928 1 9
392808 6 8
340851 45 3
20845 17 10
301796 43 8
472380 21 11
45380 14 10
195564 3 10
107543 36 9
365317 7 10
444040 16 7
343135 30 3
143858 39 4
82541 17 9
364861 34 2
409815 4 2
124608 47 5
209149 20 9
156389 37 11
176085 8 10
327574 38 8
444996 38 5
13283 31 10
332559 43 9
50152 17 6
81094 19 10
498399 25 1
93404 1 2
260609 7 4
95313 28 5
333015 31 11
364847 36 11
318331 40 1
229309 38 6
400241 12 1
22140 37 7
152799 1 2
338407 46 1
451080 5 5
467283 30 8
419999 41 10
391815 44 10
205358 29 11
269345 10 8
39519 40 4
445530 22 2
102664 8 1
36235 32 11
377604 48 11
192087 26 4
145847 10 10
219100 33 3
410912 27 2
149214 23 9
185250 20 5
483449 26 1
159357 32 1
208636 43 8
342723 35 11
92470 14 2
237430 39 6
451854 22 10
363228 23 1
211753 7 11
222807 46 9
139982 17 3
228840 21 7
334051 2 7
57908 10 10
162262 32 2
268206 14 1
57617 41 11
98413 3 10
484192 14 5
363426 3 8
380084 3 3
210092 16 3
420966 44 5
113069 42 8
234882 34 4
133655 19 7
216930 45 4
207793 46 4
474721 28 4
132059 13 11
413444 30 3
37020 42 11
314213 38 10
309631 17 1
141240 27 7
291267 8 4
119525 1 8
79595 7 9
473031 44 7
423608 11 10
222560 22 10
313989 39 7
241130 10 9
332988 45 11
409154 37 7
283934 45 6
346261 49 5
82551 36 2
381838 43 4
414711 16 10
306696 6 3
477097 36 11
228956 49 3
61209 26 6
435163 6 6
21488 32 10
480663 10 8
106024 35 3
477817 24 1
85387 18 11
152473 45 1
491730 24 9
5945 21 9
365094 29 9
155554 13 2
96236 12 6
166758 5 8
325971 29 4
104387 13 9
221293 17 10
217402 36 1
453003 39 5
301535 24 10
271768 38 2
230328 2 10
53425 5 6
1053 9 8
22986 36 8
5191 21 10
64717 38 5
97825 40 3
175013 8 2
145734 48 10
160993 24 3
108795 12 6
275166 35 6
323493 39 2
1947 15 8
35460 2 7
267015 1 9
47243 7 1
303938 21 5
78266 8 11
439356 24 1
335702 37 10
408465 47 5
27036 46 1
131096 27 7
149771 20 1
371028 32 10
175427 47 3
440530 49 1
24707 11 9
7822 21 4
332902 35 5
158647 32 11
3363 4 6
280021 48 7
426553 17 6
311189 9 2
270980 38 9
352182 12 1
17774 29 1
193572 7 4
185234 22 10
440407 43 11
8269 38 8
461378 23 3
392422 30 7
127006 31 10
56798 5 2
413413 42 5
2278 31 2
297408 43 6
58404 24 11
182575 19 1
359422 11 9
47232 13 4
416554 32 2
100284 15 3
23405 11 8
12421 20 3
122188 31 10
387147 41 6
21561 15 5
158739 6 1
162387 25 10
414276 15 11
111125 33 5
167251 28 4
317027 27 2
281072 11 10
460516 33 10
283526 33 5
318936 22 2
475035 46 5
409988 17 4
42220 20 5
258760 3 10
332638 31 11
449548 47 4
153476 27 7
477602 10 5
263549 7 11
62245 6 5
244876 34 11
371643 33 4
85055 19 7
102168 8 6
380793 25 6
150676 43 11
38922 35 4
394427 14 7
86501 20 9
15303 34 5
383188 31 8
216033 18 7
158415 42 11
35685 31 3
200715 12 6
232199 30 9
81769 25 8
217897 4 5
438219 41 1
131785 20 5
438774 34 6
107122 1 7
359715 20 3
41188 31 8
494833 3 4
233901 36 11
349104 16 7
328207 49 4
363286 48 6
147452 31 5
89103 18 1
159671 19 4
173729 27 9
219116 29 11
425323 18 1
11916 13 7
464263 32 5
403043 34 5
42592 30 3
79619 2 2
340906 2 5
308810 42 4
382572 24 4
307425 24 6
57295 47 11
180089 40 1
330343 17 10
322200 29 5
121017 3 11
109936 29 1
447950 36 1
225797 18 8
431516 30 1
218568 17 5
451235 8 8
109130 33 11
70825 7 6
121536 19 8
496992 34 11
125370 5 2
20262 9 7
428941 17 10
161384 23 8
214398 17 10
100344 34 1
25470 45 4
101767 8 5
224482 26 7
290982 25 11
34615 37 4
81043 2 11
157515 19 10
278592 7 7
193789 48 6
70841 4 3
134615 24 3
474145 32 8
267499 21 6
423472 3 5
488160 40 3
168177 6 2
170520 48 3
12484 33 6
340144 30 1
59720 37 10
23337 38 2
65137 12 5
388678 34 5
289214 9 7
9182 48 6
381560 8 3
6498 10 8
463435 4 3
308677 14 11
184696 42 8
288461 38 9
461175 28 8
298668 19 11
364057 22 7
104549 1 8
252658 27 11
390988 45 11
325344 39 2
242694 20 10
651 29 10
146071 1 6
1751 33 9
293137 27 10
259251 24 5
428749 44 4
196200 24 7
50168 33 8
315012 2 11
292143 20 4
403391 6 3
103755 33 5
54942 43 2
205016 25 5
147852 1 1
120197 46 5
393318 39 5
11090 32 9
279624 12 9
78299 45 4
381249 19 5
344617 41 2
63293 32 1
244301 23 3
44775 11 5
189200 47 3
77495 2 2
184053 8 8
359660 25 8
399025 44 10
469828 42 11
141683 18 2
479837 21 7
426606 42 3
463537 11 8
223656 46 8
368592 21 2
185863 37 4
229741 10 11
108176 27 3
124751 20 6
231521 11 1
336634 16 5
491426 12 6
270551 7 7
280248 16 1
6800 10 6
486693 16 2
495928 21 1
97218 49 4
398209 9 2
4047 45 1
249510 5 3
250529 4 4
291479 36 3
171553 37 8
498246 47 10
242639 2 4
127631 22 2
280796 25 10
291129 14 9
226105 41 5
97863 29 7
444713 2 1
212329 3 4
61305 10 1
392247 12 1
338659 29 8
71314 20 8
300129 17 8
86191 33 9
43398 29 1
152345 29 6
407848 33 3
417175 21 2
262827 5 10
376406 39 7
282335 14 4
247304 1 1
465404 39 8
133663 31 10
302824 47 9
351058 11 4
18630 4 5
462322 46 8
314456 37 8
266885 25 7
340532 9 2
26702 9 5
172563 40 8
292731 46 11
139102 13 9
60758 37 4
420972 8 7
446490 41 7
405893 40 5
469393 17 11
418795 48 2
131652 39 6
145799 5 2
231380 37 11
440722 29 7
469271 4 2
472526 14 5
349157 20 8
276231 19 7
161758 47 11
9176 36 11
352331 8 7
323796 11 8
305507 40 2
489004 30 9
284679 33 11
257694 32 7
198698 38 10
443730 13 4
114111 24 5
249995 18 2
460379 41 2
135924 3 2
480721 43 10
272251 43 6
56971 8 2
382566 26 4
318386 43 2
106602 38 8
20056 2 7
378705 47 3
153725 30 8
447997 12 5
350465 23 1
438614 36 2
392862 9 2
466878 48 4
392447 34 10
205163 8 8
446258 25 7
355244 16 3
108124 19 10
92363 25 6
2112 20 1
238328 2 8
335278 29 6
7856 43 2
296267 33 3
424078 2 9
200803 33 9
162428 9 11
357114 21 4
492224 10 1
303692 28 2
177956 48 5
313111 4 4
334812 12 1
205754 14 7
288528 6 6
204752 48 6
420095 28 10
354080 45 9
330682 18 6
388509 10 4
4203 34 3
137990 21 6
445735 33 5
197050 13 9
143789 41 1
286586 21 7
25291 24 3
397456 25 9
192590 42 11
407139 19 9
279511 12 5
405265 23 6
452730 45 7
146161 32 6
62523 45 3
490064 1 7
102444 32 6
21951 13 10
132611 6 9
399887 39 7
161018 48 6
352353 21 5
249337 1 4
324848 44 3
378331 30 2
149459 9 4
129879 19 1
244995 15 10
355913 43 6
282880 42 5
470004 2 4
494748 8 8
140309 4 6
51566 44 1
370341 24 11
146391 34 7
229815 3 6
459594 33 2
268238 26 1
159762 39 11
223060 8 6
145635 11 6
302281 46 4
232537 40 8
313700 12 10
132424 34 4
242089 9 10
402445 47 6
486367 1 5
48667 9 3
352213 28 5
328921 2 3
252060 25 7
241994 20 8
249130 34 10
54282 46 2
402142 40 5
179876 2 6
243251 15 6
40742 14 10
152626 31 9
433281 45 5
402321 7 9
87359 28 5
383278 8 8
98310 3 6
97692 1 7
10154 15 11
218937 27 4
233691 36 1
294886 24 3
75610 2 11
233711 25 1
29765 17 2
422681 40 6
385078 6 11
322884 6 4
87154 15 11
397113 29 3
292928 49 1
447544 27 6
454150 38 2
1895 15 10
212183 43 7
307595 5 7
151485 8 7
36268 24 10
307973 16 10
138675 31 7
349958 40 1
412818 16 4
38537 46 3
226348 35 3
158456 34 7
401815 12 9
99620 14 11
270093 25 2
29876 30 5
31456 9 7
444479 5 2
44098 47 7
5074 19 9
160283 17 5
68057 8 10
167201 12 10
448141 24 7
246473 40 5
247783 4 1
381121 33 7
276766 27 2
480763 18 6
374678 48 6
133701 37 8
287183 47 3
445793 43 2
64885 49 7
409227 36 3
424621 24 9
80930 41 2
383000 38 1
497376 37 5
476837 7 2
336083 7 5
480701 39 2
377262 1 10
98538 41 9
279238 49 7
103280 24 9
376574 49 9
431610 46 6
288957 22 5
373036 27 3
320339 48 11
167115 6 4
97236 32 9
301621 27 9
427938 39 4
17301 14 2
368818 33 6
19673 25 7
95400 36 2
323324 23 5
308134 18 5
64193 10 6
301486 44 8
343253 31 7
461203 27 6
494405 37 10
142881 40 3
499471 19 6
9571 39 3
477458 8 6
429532 26 8
267596 45 11
209990 46 2
323464 47 6
11759 31 2
144383 16 1
59099 25 5
343357 23 10
231796 16 3
128256 34 2
280925 29 11
80542 41 2
207191 38 6
104254 32 8
417767 18 5
357762 32 1
106493 40 11
331574 13 11
408704 32 7
217822 24 6
298370 1 7
491037 21 11
248478 24 9
79860 9 6
411092 34 10
437397 10 3
466057 21 9
126446 15 10
34105 5 10
439356 39 7
240201 16 6
111203 31 11
79154 7 3
440910 45 9
331495 15 3
118160 18 4
99099 43 2
345460 31 6
24683 2 11
490367 28 11
244627 38 10
71744 42 6
249103 21 9
106081 29 7
243115 5 5
482726 14 9
211885 46 3
363674 16 6
377635 45 2
462968 16 2
353695 23 3
219685 7 9
308095 35 11
111346 45 1
355266 47 10
473395 45 3
216909 43 8
187399 13 8
33577 27 5
119477 21 7
109602 21 9
293689 33 11
487096 29 6
393221 29 10
92328 4 7
326153 46 1
223493 33 6
155761 28 1
84907 28 8
402723 9 8
450124 5 5
462759 49 3
287255 24 11
82219 22 8
133796 30 9
216524 47 7
240864 33 9
324553 1 1
376868 28 7
344642 2 5
148044 12 2
184627 20 4
151399 41 7
331207 38 7
118853 33 5
63230 4 9
174506 38 1
69071 31 9
218462 5 11
82193 36 6
53876 22 2
20282 33 11
71413 24 10
327651 2 5
325855 8 5
76767 33 8
322658 28 4
486556 26 10
196062 11 7
65520 41 6
381444 5 6
351051 21 1
421927 5 4
156569 37 11
400350 2 1
351629 34 11
169770 9 9
316820 35 7
245149 36 4
295714 17 3
325299 5 7
163048 27 3
370098 35 9
92426 13 1
479195 42 2
190086 32 8
438631 43 1
333994 22 7
185391 6 7
112097 16 9
323047 9 5
141418 22 3
289428 12 9
346218 16 5
103211 40 8
166172 39 3
387832 38 9
56165 11 6
391749 13 1
76119 39 7
461858 17 2
37190 6 8
