mbr+ brp
3849 1
1929 1
4502 3
5081 1
6012 7
4923 3
5393 7
836 1
6891 5
7001 8
9644 8
2768 1
3179 6
538 2
3032 9
750 2
4569 1
1417 2
6503 3
4929 6
9718 9
9399 3
7606 6
8987 2
9357 6
8365 2
6658 6
2322 3
7631 1
9380 7
9863 5
4797 1
1476 8
40 3
7922 8
5801 1
3823 4
7893 5
8593 5
5875 8
539 7
5454 1
2886 2
1808 5
7423 1
1345 4
2554 8
8710 5
5710 7
7598 2
3396 2
6600 7
9396 6
7071 9
1600 1
8506 6
7119 3
5521 8
733 5
6316 3
154 1
9212 3
7117 3
7042 5
1139 2
5507 8
5734 3
8232 7
2787 5
6528 5
238 9
3616 8
5166 4
5431 4
594 1
1338 6
4059 4
3056 8
3410 1
333 2
9997 4
2222 6
4484 8
6002 7
1395 4
1486 8
6355 3
5486 2
5860 6
3768 3
4363 7
9083 2
7590 7
7614 2
9147 6
3872 8
1239 4
481 2
5506 4
8973 1
9633 4
6085 2
5011 6
6138 8
106 2
8992 3
6482 8
7631 7
6058 8
7144 7
9532 6
7266 7
8889 2
7904 6
7535 3
8927 9
3136 6
7507 3
4005 2
1608 1
7277 5
2642 6
1052 5
5267 8
3147 7
4873 5
1403 4
4808 2
1367 7
6784 7
7138 1
2896 3
4489 5
4546 6
8490 5
5202 1
4632 3
4059 8
9449 3
8904 5
4580 8
3303 1
4088 7
4798 7
3258 4
9429 4
51 1
6156 5
1977 4
349 3
1586 9
3925 9
9500 2
6890 4
9266 4
3928 5
1008 1
3753 1
1700 5
2271 3
6952 7
8416 8
8509 3
2699 6
4542 1
6188 5
8286 7
6838 3
3746 9
7209 7
8839 3
1260 4
2069 1
6196 6
2129 1
8170 7
8986 4
3718 4
5253 2
9248 4
9262 4
5409 1
4416 2
8889 5
7853 6
1692 4
6731 7
2688 1
9512 4
9047 2
5061 5
5102 3
6428 9
8512 3
731 9
2575 6
5222 4
4204 7
3227 2
1388 5
2839 2
3308 3
2441 1
82 8
5067 3
5108 3
1436 8
1900 4
4345 9
2266 3
2566 3
5554 9
5581 9
874 4
3957 8
7715 1
2264 8
5564 1
2695 8
3153 1
737 9
8160 7
4297 6
3417 8
4457 1
852 9
2256 6
8134 2
5298 5
342 5
5942 5
3193 9
407 9
4420 6
1413 1
7387 6
9658 1
740 2
8493 2
1383 5
7209 3
1116 9
4313 6
997 7
4562 9
7137 9
5411 6
6232 3
2454 3
9438 7
949 4
8145 9
8333 2
38 3
7202 6
3216 2
9905 4
687 2
8730 8
6295 4
9149 5
1777 2
4571 3
6788 9
2418 7
3716 3
8227 9
667 2
9248 8
9813 3
6549 9
4827 9
5452 3
962 3
1725 1
4231 7
5071 9
3737 8
7531 7
9850 8
2452 5
1264 5
8000 3
1330 9
9602 1
667 2
3766 1
1605 7
3207 2
6191 6
1996 4
5001 4
8181 1
2658 5
1196 2
5864 5
2654 1
7299 5
1963 3
3791 6
5531 2
5651 7
9716 6
6687 3
2009 7
6059 8
223 7
4648 2
417 4
106 4
8235 7
9789 1
2111 8
4492 4
41 6
7383 2
1180 3
4001 3
803 6
7629 7
9368 1
1532 9
14 9
3213 9
7300 4
5805 2
1183 9
6105 5
4626 1
3074 6
1938 3
1454 2
7018 8
1991 3
6999 2
9502 9
3567 6
355 5
558 8
855 7
9841 9
5903 2
5861 8
8970 4
1297 8
4832 9
6780 8
6451 3
7118 7
9819 8
9032 1
3898 1
1399 8
7218 6
7478 6
9346 6
9184 6
410 7
397 9
2342 7
5925 8
8412 6
285 4
6368 7
2592 9
5480 4
2788 3
1419 9
7576 5
2640 2
7960 3
9891 1
418 6
5785 1
801 4
8344 4
1633 9
6586 4
3514 1
3946 5
2888 6
8397 3
8725 5
2465 4
2594 8
9029 3
6152 6
5440 4
9221 5
5728 7
1373 4
3278 8
6001 6
9967 3
7615 8
9676 5
4501 2
6710 2
7063 1
3267 7
2591 5
1678 5
5488 3
100 8
3617 7
5319 2
5965 7
7902 9
1985 7
4683 8
5472 9
7240 8
7918 3
4681 2
7131 7
3797 1
7195 3
7613 6
1060 6
1620 9
2118 1
6305 5
666 3
6260 7
322 1
9688 9
6754 5
4210 3
5601 4
4581 5
2882 6
510 6
6405 4
9182 1
5665 1
3684 3
7793 2
367 9
2624 7
6244 5
7658 2
9514 7
2815 2
9038 3
9980 2
5188 9
2762 4
2715 9
9514 7
7909 1
6870 4
1027 9
7999 6
6724 7
6700 6
6706 7
5777 3
2975 2
8597 4
6277 9
612 9
1255 3
7143 2
3376 7
61 8
180 5
4316 6
9104 5
5905 6
4741 6
3690 3
6993 8
9289 2
738 1
6215 7
4630 4
8278 4
4604 7
8244 6
7985 2
9314 8
5535 9
5966 9
894 9
3285 9
8896 9
4169 6
8456 9
698 2
920 7
3154 4
5796 2
6454 6
8196 8
8685 3
9246 7
3808 2
9809 6
1503 2
3393 5
5597 5
7917 7
1557 5
1884 8
5058 8
7177 4
2708 9
5097 8
8789 9
5958 5
5100 3
2866 4
5848 7
5071 7
4157 2
3589 9
4772 9
1155 2
1200 9
2323 7
6599 5
3279 6
6631 3
9085 2
5509 2
6156 8
5499 1
2760 3
8635 2
5074 7
910 7
393 6
3379 8
4515 5
7374 4
588 2
1527 7
9888 2
2121 3
3670 7
5297 8
8289 4
8175 1
5177 9
6127 7
2452 5
7637 7
6442 5
9046 2
71 7
7670 4
6744 7
2496 1
9113 9
9367 8
7839 1
4474 7
4902 2
6561 2
3360 9
806 7
686 2
6947 6
7989 1
7370 6
3893 2
4666 6
3916 2
3344 9
4720 4
8952 3
2809 1
8817 5
6037 6
3602 1
7099 9
4490 5
4796 3
9930 5
9721 4
2523 9
6563 3
9657 5
333 6
7046 3
7689 8
9162 9
8459 2
4701 3
7272 8
9442 2
1567 3
3635 8
6887 8
1793 1
6905 6
5270 8
6533 6
1804 7
6228 7
3536 2
4808 2
7747 3
6203 9
6429 8
2007 9
1313 4
33 7
136 6
8762 5
9886 4
8736 9
3321 4
1861 4
3988 7
9265 7
1856 7
847 9
6087 5
7170 2
9791 2
3912 4
8503 3
8724 8
8478 2
2005 2
4248 1
2862 2
2632 6
9744 2
2389 6
3742 6
9279 3
8411 6
3079 6
978 3
8355 7
8549 9
4222 7
3190 9
9729 5
1263 3
9762 6
9939 4
5125 9
9057 7
1594 1
7210 9
4168 7
8533 2
2611 6
6081 2
769 9
233 5
6313 3
2809 7
1709 2
8832 6
772 9
4910 8
8191 1
1307 1
2058 3
5747 1
9148 7
5670 2
1206 4
7795 4
5268 4
8511 6
6146 2
6744 6
1946 5
6197 9
8666 3
1273 5
4705 3
7724 6
7817 4
7373 7
6287 7
9499 7
8652 3
9532 8
4445 3
7993 9
1308 1
4236 9
3722 2
2452 9
6432 7
6107 3
5325 8
2008 4
3141 9
4392 4
2793 8
9820 2
5876 1
1144 5
9928 8
2875 8
3700 9
5511 4
9010 9
4020 4
5332 8
93 7
9241 7
3739 6
3781 6
6862 3
7250 8
4505 6
9253 6
3079 9
2597 3
2389 9
5284 5
7431 2
9357 7
389 6
4587 1
3696 8
2356 9
4389 1
6065 7
1672 2
9753 2
6659 8
6683 7
5570 3
7840 6
4120 1
4200 4
1389 3
7145 5
8805 4
9793 9
5704 5
9449 8
7567 4
2964 4
7197 6
1085 8
6218 5
7063 4
8905 2
3341 6
5617 9
4489 3
7358 4
5812 6
5826 2
2342 2
4114 8
7978 8
2555 9
6461 3
1599 6
4232 5
8818 8
1589 8
5600 1
2919 9
1491 1
8085 3
7300 2
5476 7
9186 2
4124 5
9992 5
5802 1
2370 7
8863 9
9847 7
9040 2
393 2
323 4
3900 5
9546 3
3040 4
4049 5
797 5
2734 1
7700 3
1716 4
118 2
4879 3
3507 9
3016 8
260 9
4617 8
2181 2
6149 8
9207 1
7901 9
2377 8
6194 6
1593 4
1477 4
8672 7
2915 7
6795 3
3582 7
1338 6
1892 9
1013 7
9887 2
3907 2
5255 3
860 5
8883 6
6379 4
4136 8
8672 3
7096 6
6086 3
6693 7
8587 3
9712 4
463 2
8588 5
3850 8
454 4
8399 4
8910 2
2778 3
3912 2
2230 9
7895 1
4069 8
3625 4
2415 7
8137 7
3603 1
5918 1
88 1
786 5
8154 6
7283 4
6722 2
9118 2
4346 3
4059 6
3814 5
2167 2
8056 2
4850 7
1596 4
2270 5
597 7
7014 7
6209 2
8434 8
1117 6
8893 4
8085 6
7364 7
7279 5
4053 3
8897 7
5577 1
3998 3
8168 4
7912 4
8385 7
5429 2
6067 3
1833 9
4233 7
5326 8
5016 4
7939 9
9282 2
7288 8
4856 2
407 9
8773 2
1464 1
6859 2
1569 3
641 6
8913 6
5554 5
8871 4
9838 6
7475 2
8383 5
4553 7
338 9
4059 5
4736 5
6830 2
775 3
5933 1
6334 5
8398 3
3746 7
4975 8
3407 6
4890 4
8826 4
2407 8
9695 6
7601 8
4108 8
3953 1
6950 6
7953 7
1810 3
799 5
1174 2
5567 7
1370 6
5166 8
4748 3
8495 3
8382 1
4385 6
844 5
2298 4
3740 5
5785 3
578 6
3936 7
6096 4
899 2
8349 1
5148 7
728 1
8394 2
1022 1
3211 4
7015 8
8655 4
7456 5
1455 4
4839 6
7200 6
6733 9
8871 2
7150 3
9902 4
6521 5
548 8
3966 6
452 7
9456 2
2208 6
9821 5
3798 4
7573 9
6695 7
4803 1
9052 6
8908 4
1210 9
5341 5
5055 2
2826 9
1620 5
2479 4
7426 9
8407 3
2180 8
5133 5
1679 5
1484 2
9583 6
5419 1
8952 8
7209 6
7471 1
9024 1
537 7
7513 9
3019 2
8861 3
8635 6
4239 6
4368 1
3703 9
7751 6
2708 6
5889 8
8405 8
9379 3
4336 8
4592 2
9777 7
4822 7
9719 6
6506 4
5577 1
6688 5
3263 4
2430 2
365 4
6034 8
3528 9
9832 1
4043 1
5410 4
3905 6
4368 5
1053 1
2996 9
8873 5
4864 4
9584 3
5113 3
813 1
8733 3
1849 2
2819 8
3902 2
8862 5
4318 7
8714 6
7498 1
413 4
6857 5
3328 3
2271 5
9129 6
6598 7
5834 9
4279 3
679 2
4625 7
6548 6
9382 7
1270 6
1773 8
2742 3
8573 3
977 8
1206 9
7226 3
5348 1
2074 1
2113 7
5828 4
5166 9
4101 4
4445 7
3864 9
395 2
3143 7
2522 2
4663 5
7076 8
3079 7
2294 5
2607 1
2517 1
6396 7
4197 2
2730 2
6280 3
9814 8
5562 1
2509 8
6452 4
5096 4
9278 2
5307 5
1919 8
4466 2
1324 1
2782 5
1699 9
4885 7
1067 2
887 2
4831 3
7727 5
3496 7
1630 3
7363 9
9958 2
9373 1
1010 9
1682 9
1950 7
9480 2
3106 9
4633 7
9493 6
1778 1
1026 3
842 5
6156 8
8935 1
1187 4
1004 9
8810 3
4290 4
545 6
6457 8
6246 7
7665 1
7417 7
1911 1
404 2
9196 2
9879 3
7057 1
7787 9
985 4
4259 2
9938 4
5246 9
6155 7
1833 8
2056 7
5160 8
1375 9
5285 8
9963 6
932 1
2006 7
4580 1
3712 7
152 2
5825 5
4426 9
6092 9
6779 1
5580 4
1634 5
6374 2
7255 3
3151 8
7872 4
4018 8
4007 3
9429 5
6349 2
9293 2
7564 3
2535 1
4780 3
7727 8
2978 5
4029 5
3582 6
3645 5
4294 1
5206 4
4478 5
9916 9
6673 7
3148 2
4931 8
207 5
6124 3
8628 8
1230 4
4370 6
9780 2
2766 2
1676 3
764 9
1907 6
496 3
3081 3
8111 3
8782 3
16 6
8149 4
2217 7
6149 4
7623 4
2660 1
8183 4
5369 1
9896 6
659 2
6185 2
1089 4
4658 3
4414 1
4323 8
2161 3
5426 1
3433 9
6204 1
9760 1
8828 4
1162 2
3849 7
9734 2
284 6
6002 8
9528 1
4631 9
4701 8
3395 7
854 2
8413 5
7602 9
4757 3
5788 6
277 5
9654 9
8799 5
7331 4
5822 9
1328 8
7953 1
3296 9
3355 8
7484 1
801 9
849 5
1302 6
7155 2
9120 8
3203 8
2895 4
9513 6
2967 6
6141 2
2392 7
672 4
5557 9
3413 3
7812 4
4199 9
5809 3
5123 3
3117 9
8613 8
7664 7
8207 5
1471 1
264 3
3009 7
8537 1
3119 6
1588 2
672 7
5827 6
9427 7
8859 3
8400 3
267 9
8607 8
651 7
1165 4
1207 6
7684 9
8908 8
507 7
3416 1
227 6
5523 7
5248 7
8726 7
1198 1
7608 3
4606 2
6380 9
7274 6
2462 4
1535 2
4907 9
6484 3
2308 1
1331 4
8736 6
9100 4
1887 6
8565 6
5779 6
1115 5
4882 1
763 6
3883 9
9511 9
6686 4
2662 7
2996 1
1067 8
6457 5
2186 5
3414 2
2427 4
91 1
8769 7
5728 1
7054 9
6722 5
5583 9
4733 8
5113 2
1325 9
248 7
2828 9
5170 8
4651 6
8088 6
8307 5
4914 1
3562 4
6681 2
7030 8
2268 6
3101 5
2344 4
3084 7
8671 2
7820 2
5993 3
8858 8
2321 3
415 1
6814 2
589 8
2979 7
4373 2
8091 6
9242 3
2567 7
6742 6
1716 6
3382 8
7788 8
3795 9
4591 3
6864 1
9563 6
1477 6
1985 6
9077 8
7880 8
9753 2
1676 2
1715 3
1058 3
8017 9
2364 9
4625 4
1117 7
6379 3
9315 9
831 4
1788 5
244 3
5544 7
4986 6
4217 5
4971 3
1141 4
4242 6
8503 6
2476 2
5284 2
3292 3
7006 2
5517 2
4933 4
2821 7
949 5
4116 7
2072 9
8320 3
9309 7
6722 8
8034 1
8618 7
5253 3
769 4
1455 3
3818 9
6507 3
5622 8
5730 8
6935 6
7665 4
9559 9
5966 3
6049 1
8341 2
8206 9
1157 4
9256 3
8257 6
4335 1
4010 5
8080 1
7334 1
389 8
4893 6
2213 6
5750 3
3981 7
603 5
7358 2
6944 2
1246 8
3986 9
678 2
5410 6
6430 7
9626 2
922 3
6394 5
7194 5
7586 1
112 5
7382 7
1686 4
9860 7
8046 4
8141 2
3156 8
4051 5
1209 9
6073 5
2589 6
4158 5
2951 5
7809 1
8052 8
7161 5
9769 6
6720 9
4389 5
1662 2
3852 8
2578 8
8670 5
7953 6
7531 7
2570 9
4138 7
1424 5
8600 3
80 6
9525 3
4847 7
5991 5
2743 3
4763 8
2282 7
5003 4
7671 6
5280 8
6504 9
5815 7
2515 2
4225 6
6548 1
3823 9
6957 4
6310 1
2169 7
7569 8
7165 6
4109 9
8610 2
5655 5
3904 1
3563 5
2905 8
5739 6
7554 9
6114 3
3472 5
215 5
4455 4
3213 7
1140 3
219 7
9122 9
6541 5
8394 7
5052 1
7861 8
6202 1
839 3
3759 1
235 3
5638 7
2446 3
5766 5
1436 1
8055 1
6144 5
94 5
892 6
7032 8
4855 5
3987 3
1076 7
974 6
9619 4
6205 9
328 8
505 8
8148 1
1223 5
9428 4
1323 3
1712 5
950 7
4472 6
4655 1
758 2
7508 6
8582 8
6033 2
2629 3
7023 5
4307 3
7981 1
3360 9
9234 4
629 3
4462 8
1363 1
1967 1
330 9
5543 7
7775 4
7709 6
3452 2
3999 1
1557 8
7608 7
3153 7
1901 7
8723 3
4873 2
9210 6
4592 4
2968 5
1550 4
3563 1
9299 2
2210 6
1929 9
8101 7
945 3
7455 9
7288 3
9649 6
1988 9
5257 6
7967 2
5308 6
6569 8
4839 2
2991 2
5763 7
7928 9
6571 8
3794 3
8998 4
2988 8
6989 3
871 3
6806 3
5187 2
1023 8
1599 8
6265 7
6466 9
3138 5
7641 6
1238 3
9110 7
7434 5
4751 4
5578 7
9100 7
1951 3
1117 4
2910 6
1350 3
3441 7
5716 1
9050 3
1088 8
3234 4
6704 7
1655 4
6433 3
4836 9
2552 5
7031 8
9976 5
1237 5
4731 3
6292 7
8237 1
7828 8
4602 2
4966 4
8868 1
8870 5
9417 7
7629 5
714 1
2444 8
6617 4
2078 3
7628 4
1650 6
8095 6
1831 4
544 6
5991 7
3654 2
3103 3
7506 6
5368 8
7044 2
2544 1
240 9
4547 1
8376 2
8878 5
9565 9
3955 4
7497 3
2941 7
5073 4
2605 7
4682 7
9317 8
7228 2
5753 9
4031 1
4008 7
1438 7
3766 1
5959 2
1508 9
5882 1
4669 9
3842 5
1648 9
6169 9
4186 8
2343 7
537 1
7056 2
5753 5
5520 2
2679 9
9005 5
9390 1
3546 7
4427 5
9382 3
6521 8
3378 2
7192 5
7073 9
3958 8
3891 7
9337 6
9501 7
7555 9
3956 8
8013 6
1820 3
8636 6
4130 3
2591 9
8891 7
308 1
3737 6
2438 9
9899 6
7474 3
694 8
9326 3
7240 5
6371 1
2549 1
8103 2
2712 4
5499 8
7102 2
5896 2
2372 3
2210 2
789 9
3796 7
6908 8
5223 7
1195 3
9126 3
2192 3
3790 4
9470 6
1082 1
732 5
7290 7
8494 7
1238 1
3681 3
3774 7
1015 8
7164 2
5497 7
1176 8
5469 4
6606 8
7990 2
7616 6
8418 7
3983 2
6572 2
7872 2
1658 7
457 4
2506 5
6443 8
5484 5
209 2
1985 9
662 1
8561 2
8502 8
224 6
4609 9
682 3
6875 1
211 1
816 8
4788 4
6993 8
7120 2
7052 4
7358 6
546 7
6767 1
4207 1
3869 2
9835 5
8051 3
9815 8
8158 5
4657 3
865 7
406 4
864 5
9840 3
7736 2
3314 7
6222 7
4575 6
8973 9
3279 8
341 9
5041 3
4308 9
5238 7
5149 7
6046 1
1982 8
2292 7
7112 9
1568 4
8586 2
1740 1
9357 2
8767 4
8160 4
6728 1
2209 9
8989 5
1505 7
3014 3
1353 7
2900 7
8368 7
9379 6
4242 8
4884 6
2982 4
6163 9
593 5
3406 9
2664 7
6951 3
9930 1
2427 4
3760 6
4876 5
3293 4
1364 3
5933 7
2580 4
7822 9
3467 2
175 2
7042 9
2639 2
42 9
5223 9
5664 7
7938 1
6913 2
9164 3
1191 9
4647 4
4992 3
6853 5
9253 7
6626 4
3078 5
4459 1
3451 5
3136 3
550 4
9701 8
5605 4
2510 2
1518 7
2676 7
7848 7
5552 9
2397 4
4785 9
556 8
6426 5
9074 7
1685 5
8033 9
4187 1
5208 9
157 9
5415 2
4198 8
7607 4
4077 5
5264 2
5607 8
1249 4
1910 9
5907 1
753 8
8225 4
3705 7
5304 3
4114 1
2140 8
6870 7
8877 3
4567 7
1320 1
7219 8
9658 7
640 9
5166 9
5915 4
1684 4
6344 7
1401 5
6109 6
9362 4
8334 1
7161 9
9243 6
2185 2
1188 3
4695 3
5580 1
6341 1
6717 6
6303 4
9828 1
9591 1
1967 9
9063 9
5859 5
9544 1
3843 8
2222 6
7640 1
9677 3
20 5
4622 2
5090 2
5580 1
506 9
6086 4
7111 1
8630 8
390 1
9420 2
9015 8
8048 5
5921 7
6360 1
9282 1
3230 1
6639 2
7143 4
5881 3
2353 8
5555 6
911 9
7837 8
5459 7
9652 6
6298 2
7304 1
2775 9
4742 4
1190 9
9346 1
1231 6
8418 1
2163 2
8012 7
1078 2
4463 3
293 3
9539 9
8743 4
2866 6
4425 4
2219 1
8808 8
6972 6
3914 4
2133 7
4812 8
1365 6
7101 1
6894 4
1754 6
2555 2
3751 9
6606 3
6661 3
3548 6
7607 8
4206 2
8639 5
4405 6
5532 3
2956 1
1321 6
9628 8
1655 1
7808 6
9298 7
8382 8
5341 2
7669 3
5576 7
7544 6
3509 8
6756 5
6757 2
8226 4
2758 5
9107 1
6189 8
47 7
5289 9
3056 5
5584 5
8132 8
689 1
4323 1
6368 5
2530 6
5255 7
6853 9
9884 6
1152 4
5613 6
1241 7
1378 2
5740 9
5790 7
6022 5
4167 6
3144 1
4507 6
2151 3
2150 3
3208 8
1062 2
9248 9
3022 4
7251 6
6375 1
3960 5
2899 3
387 9
204 6
8142 8
3286 5
7726 9
3585 5
8953 1
7320 1
7594 9
5330 9
4738 5
6845 5
9652 7
5481 8
4621 2
4158 2
2940 6
411 2
5806 5
9895 8
1532 8
4074 1
1626 1
6597 5
6585 5
8920 7
1828 8
8693 8
8772 9
1402 1
5381 1
8100 3
3689 6
4231 1
9285 7
5215 9
9160 5
9485 8
7584 4
7609 9
6876 6
5808 1
517 7
453 9
4262 7
4605 5
1158 6
3789 3
4855 5
6232 3
1268 4
3978 5
7143 4
9743 7
7509 4
1050 2
6157 4
6054 5
4123 9
5919 8
2662 5
7123 6
4916 9
7236 4
8220 4
7649 2
8709 9
2419 1
4975 2
8990 6
8323 7
9917 4
5371 4
8002 9
9462 4
5372 5
5711 7
8378 6
8379 7
7545 5
8722 6
807 6
9339 9
4247 3
7944 4
6135 7
632 2
1246 2
9709 5
4102 7
4831 7
8257 5
1578 1
1112 2
4212 7
9659 8
762 9
6371 6
5228 7
2434 4
8554 9
5680 5
9465 9
9110 3
5060 1
3103 5
9544 5
1177 4
3449 6
1295 7
7696 5
3057 5
6761 2
6012 5
7491 6
5469 5
6667 8
298 7
4662 4
7602 5
5129 1
2953 5
8632 2
5115 4
4119 1
9723 4
5137 8
3893 4
5473 1
3225 3
5399 5
2991 9
9679 5
6016 5
3487 4
5288 2
9121 6
3180 9
8699 7
6182 6
2773 3
6946 4
1023 6
6852 9
5938 3
5001 5
476 4
4875 4
3192 6
7318 4
1752 4
2078 9
1071 2
8414 3
6364 3
6411 3
2519 5
4202 3
7223 1
60 4
7991 4
2742 5
9560 6
2909 9
4589 6
1958 3
3839 6
2170 3
302 5
4194 5
1900 1
1722 4
8074 3
721 9
978 1
6974 9
2248 3
3658 2
9777 5
2582 2
1903 7
8926 7
797 4
8257 3
2376 6
8680 4
5405 6
916 2
1503 5
8508 2
5121 6
4865 3
1296 5
1496 9
3421 4
2370 7
1755 5
7045 2
9438 3
3962 3
5889 5
6989 2
9648 6
2990 8
8164 1
4824 6
358 8
6146 9
1508 5
2703 4
9644 8
8720 5
4910 6
6295 8
8218 8
4275 9
8638 1
1246 6
7455 1
7261 6
6221 6
492 6
1035 9
3757 5
8601 8
1978 7
9558 9
7950 6
1072 3
4007 8
7165 2
9327 8
7232 5
522 1
8070 9
1040 9
9492 9
6857 7
8107 6
5586 5
7565 3
5804 7
6631 4
9378 1
2262 6
1914 8
1766 6
9163 8
2391 2
8138 4
3837 6
7540 5
7576 2
1025 8
7393 1
3783 8
2866 6
4561 6
8720 1
8721 2
7649 1
5584 5
2146 5
1000 9
8408 9
8360 6
3534 7
126 6
4404 3
5408 6
9833 7
6059 1
3166 3
5513 6
2985 4
6233 7
1060 6
9523 1
2120 5
6859 9
1218 7
7650 2
7666 1
290 6
6734 5
5171 8
3718 3
1190 6
2841 3
328 1
5772 2
7287 8
2827 8
6420 9
8195 1
9265 6
3115 4
6802 3
5639 7
4459 2
8720 7
289 2
5787 8
3974 5
8499 7
4165 3
8109 4
2147 2
1827 3
9721 9
3120 7
7252 1
8109 8
5894 8
9605 1
6509 6
8885 9
6447 3
8496 6
7838 4
4092 7
5829 6
3390 6
1063 6
4861 8
4917 7
985 8
503 4
3636 6
4881 4
8963 3
1144 3
688 9
3787 1
8245 5
3602 7
8835 1
7332 7
9307 3
1058 9
4569 1
853 8
8517 1
7663 6
9621 7
7674 4
5924 1
4154 7
205 8
7116 4
9951 3
3464 4
6518 7
6609 7
6292 3
9551 7
