mbr+ god plt
3118 1992 2000
6806 1991 3435
8822 1994 2194
3009 2000 1097
6668 1996 3469
5628 2003 2432
7834 1991 1085
4384 1994 4891
9685 2002 1746
3642 2001 4362
8662 2001 1495
9316 1998 1993
9046 2001 2939
9751 2000 2487
4636 1995 4778
6522 1999 3037
4149 1995 3951
3265 1995 3127
7480 1996 2469
5913 2001 3722
6942 2001 3138
8539 2001 4692
6032 1998 1488
7535 1996 2691
6556 2000 4255
9293 2001 2245
7295 1993 4790
8148 2002 3299
5206 1996 4897
4940 1993 4370
3781 1990 3537
7450 2003 4290
3308 1993 3978
8746 2002 2591
4096 1998 1471
7790 1993 1603
5647 2003 1144
9672 2001 1680
7613 1996 1093
5439 2003 4097
9337 1998 1301
9084 1996 3893
7365 1996 2705
8769 2001 2603
4671 2001 2768
9757 2000 3559
6581 1992 3657
9821 2002 4297
4299 1990 1922
9089 1994 2131
6747 1995 1583
7434 2000 2119
9047 1996 3440
5256 2003 4750
9802 2002 3536
6284 1999 3206
3392 1992 2131
9406 1990 3828
8031 1990 4520
9898 2001 1821
7579 1998 4686
5620 2000 3530
8639 1995 2140
5847 1997 4077
9570 1999 3995
9467 1992 3210
6991 1993 2853
4947 1990 3050
9401 1994 4041
5928 1997 3486
9223 2002 3107
7166 1992 4862
5303 1996 1897
8225 1995 3084
4726 2003 1551
3578 1996 4607
3013 1999 1023
6321 1994 4269
7300 1994 2705
5363 1999 2234
7772 1996 1621
9045 1997 3355
6303 2003 1480
7904 1998 3273
5084 2000 2887
8892 1995 1643
7236 1993 2542
3343 1995 4124
6578 1998 4665
3876 1991 4235
9481 1990 3453
9368 2003 2217
3920 1997 4475
8503 1998 3662
7751 1992 3030
7840 2001 2913
8943 1993 2973
9046 1996 1653
4873 2001 4230
8429 1993 2040
3618 1999 2248
3265 2003 3426
9899 1997 3964
6416 1996 3350
3765 1993 3605
5820 1995 3503
8217 1990 2400
9757 1993 3381
5062 1996 3935
4414 1992 3772
9274 1996 1105
9559 1992 2603
7914 2002 3353
7438 1992 3812
4948 1994 4665
8065 1990 3022
5160 1994 1380
3444 1999 3696
5584 1992 4782
5653 1990 2767
5762 1997 3238
8662 1996 2405
6969 2003 3530
7985 2000 1455
9885 1990 4370
8806 2003 2471
9109 1991 4755
4964 1997 4286
3209 1991 3852
8844 1993 4772
8459 2002 2428
4486 1994 1824
7646 2000 4078
7890 1996 3890
6235 2003 1999
9774 1992 1450
4209 1990 3958
6514 1999 3817
5233 1997 3277
5982 1993 4484
4434 2003 1659
4617 2000 1255
3809 1999 2327
7277 2003 1703
3756 1990 4275
5760 2001 2299
9347 1991 4168
5377 1999 1125
5739 1993 1450
9398 2001 4530
7201 1997 4572
9664 2000 2518
9387 1994 2110
6475 1992 4815
5524 1991 2674
4997 1994 1952
9252 2003 4808
8446 2000 3699
9549 1990 3646
6542 1994 3871
5999 1998 1027
6971 1993 3426
5451 1991 2774
8304 2003 1609
8461 1996 4680
5223 1998 2133
5591 1990 3795
7205 1991 4335
5184 1993 3028
7890 2001 2244
3761 2003 1506
3542 1993 4383
9658 2000 1372
6906 2001 3693
9015 2003 1682
7119 1996 2827
4611 1990 3892
5986 1999 1352
6866 2001 3916
9310 1990 3506
5537 2000 1604
6631 1995 1861
3503 1992 4996
4306 1993 4414
5382 1996 1213
4537 1992 1421
7159 1992 1846
8411 2002 1807
6857 1999 3631
7359 1990 3481
6627 2002 2398
8433 1996 3427
4768 2000 1201
3159 1996 2986
9995 1991 3599
5132 2001 3117
5223 1991 4213
9829 1999 3782
6771 1992 2407
8123 1994 4579
5762 2001 3765
6480 1995 2212
6528 2002 3959
5487 1995 3730
7837 1991 2049
9203 1992 3442
3872 2000 3931
3833 1994 3251
4782 1999 4594
9192 2003 2520
5494 2003 1401
3178 1994 4991
6043 2003 1536
9306 2001 1550
8500 2003 3437
6807 1996 1880
6422 1990 3040
6497 1990 4089
7872 1990 1080
9336 1996 2234
6086 2002 1356
7961 1995 3241
5378 1992 4268
6546 2002 4988
7130 1999 2703
3429 2000 4076
5449 1991 1508
6456 2002 2614
6542 1994 1164
3238 1996 4766
5978 2000 3156
3827 1996 2290
9422 2003 1036
9103 2001 2223
3046 1999 2246
6102 1993 1239
5990 1992 4728
6836 1993 2023
5626 1993 3742
6323 1997 2618
9690 2000 1174
9990 1995 2746
6629 1998 4630
8201 1995 3699
6285 1996 2636
8914 1996 1559
6034 1998 4950
6134 2000 1278
5364 1990 1382
4819 2003 2037
8268 1991 2191
4730 2001 1149
5483 2002 4274
8547 1998 4772
6496 1994 2296
8904 1994 3437
3398 1992 1506
9587 1990 3306
3302 1990 3651
8241 1997 1498
6218 1992 2474
6615 2003 2174
3986 1992 3282
5605 1997 1049
8916 2002 2521
5262 2001 4687
7887 2000 3572
7720 1990 1961
4189 1995 1613
3186 1993 1025
4659 1994 2358
6336 1994 3224
9285 1992 1968
4820 2002 2203
3437 2000 3266
9824 1999 1886
8083 1995 3062
3682 2000 3804
9910 1997 2347
4489 2001 2841
7037 1994 1679
9041 1992 4798
3741 2002 2227
6514 1998 3838
5753 1996 4516
6503 1996 4059
3464 2000 2732
4695 2001 2782
4663 1998 1830
8490 1998 4050
6321 1999 4979
4751 1996 1504
9759 2001 2753
5725 1994 4531
3887 1997 4871
4192 2003 2318
6762 1995 4353
4723 2001 2434
9978 1994 4023
4554 2002 3742
8136 2003 4168
5410 1990 4184
7157 1991 4581
8701 1995 3809
6306 1999 4396
9057 1992 4539
3100 2001 1964
4126 2001 2643
6269 2003 4567
7402 1993 4998
7463 1993 1822
9101 1994 1843
5645 1998 3732
8384 1995 4755
7750 1996 2414
4954 1997 4417
7009 1994 4732
7348 1990 2176
9844 1998 4077
5969 1992 1107
8448 1997 3220
8670 1992 2802
8870 1994 1644
9608 1997 1502
9083 1994 2749
3998 1994 3332
9934 1996 1907
9541 2002 1844
4745 1992 1498
6771 1996 4329
4587 1995 3495
9676 1997 3512
9037 1990 2553
5184 1999 4364
4572 1992 1386
3249 1990 3609
9206 2001 3072
5072 1997 3729
9238 1990 3012
5798 2001 4626
3569 2002 1292
9489 2000 1855
6058 2002 2168
4925 1997 2243
5351 2000 1580
8606 1994 2589
8949 1992 4681
7917 1997 4446
7534 1990 2087
5578 2001 4132
9081 1995 4330
7080 1994 1750
5188 2003 1484
7139 1994 4213
5092 1995 1788
3010 1998 3113
9125 1996 4266
7093 1992 3171
9836 2003 1638
9298 1992 2818
5101 1992 4859
6385 1996 4193
6573 2000 1286
9081 1991 1822
3698 1995 1663
5175 2002 1428
4129 1995 3474
4436 1993 2201
4620 1999 4242
6191 1995 2099
3954 1995 1321
6274 1997 1081
4074 1994 4859
6024 1999 1256
6867 1993 2166
9618 1997 4552
6848 2002 1678
8319 1992 4953
8664 1993 1595
5967 2002 4903
8187 1992 1372
3168 1991 1372
5655 2002 4162
6669 2003 1277
9247 1994 3199
9970 1996 1997
9683 1991 1944
9062 2002 1867
7067 2002 1340
3908 2001 4887
3542 1995 4925
5222 2002 4558
4142 1994 3796
7557 1996 2247
7370 2000 1690
4246 1995 4491
7092 2003 4334
9646 1990 1281
5173 1997 1351
6213 1991 3506
3713 2002 1395
7087 1992 1396
9799 1990 2453
9847 1998 4726
9024 1995 2352
5027 2000 3556
6014 1997 2877
6769 1990 1109
8541 1993 1208
4898 2002 4340
9443 1993 3758
6838 1992 3470
5516 1997 4075
4367 2001 2313
8077 1990 1576
7585 1998 3102
4877 2001 1162
5789 1995 4742
3745 2002 1837
8103 1995 3346
4738 2003 1585
9708 1992 4739
8820 1994 3283
4182 2003 3747
4811 1994 3157
8378 2001 1165
4737 1996 4929
4634 1997 1017
3208 1990 2796
7138 1993 1588
7655 1994 4616
4419 2002 3430
4929 1993 2363
6289 1996 1543
9534 1994 3221
3687 1993 3543
7894 2003 2392
3536 1991 3928
3194 1993 1361
6584 1995 3779
6413 1992 2129
8371 1999 3218
9597 1996 4299
4703 1990 1326
4525 1999 1691
8564 1996 2986
7459 1995 1866
5844 1991 4506
4922 1998 4943
5484 1994 1971
8071 2000 4496
3955 2003 4484
5019 2003 4427
3519 2000 2246
5061 2000 1218
6337 1995 4140
9594 1994 1745
3302 1996 2813
5403 1996 2026
9190 2003 1936
4357 1995 3606
9084 2003 1462
3160 1998 4944
3547 1995 2733
3609 1994 3763
5256 1999 2952
9061 1997 1340
8914 1990 2766
3212 1991 4025
4534 2003 4099
4794 2001 4683
5846 1997 2196
7610 1995 1277
9580 1999 4809
5909 1997 2118
6612 1999 3382
4145 1997 2657
7428 1997 1793
6966 2000 1172
3867 1996 3685
7420 1997 2091
8860 1999 4473
5789 1999 1367
5029 1999 2700
7035 2003 3369
8574 1999 1550
3637 1996 2634
7352 1996 1365
8472 2003 3942
3833 1999 4532
6221 1992 4614
7048 1998 4840
4190 1993 3921
4042 1995 3981
9770 1994 1623
8992 1991 2613
6262 1996 2730
6329 1991 3865
4916 1994 2572
5207 1990 3662
8911 1998 2542
6788 2000 1130
4071 1997 3104
8665 1995 3332
5020 1995 2010
4094 1991 4236
3077 1998 1783
8264 1999 2585
9008 2002 1831
3702 1991 3051
5915 1992 4862
3005 2000 4938
4295 1992 1972
5524 2001 3921
3228 2002 2998
8863 1998 1518
4743 1995 2137
6083 1997 2625
6178 2002 3314
3535 1993 1061
7992 2003 3294
9743 2001 1733
7369 1994 3874
7593 1997 3364
8989 1999 2766
9761 1992 3499
8210 2001 4937
3046 1991 2930
7498 1990 1919
5685 2002 4134
9754 1998 1871
7186 2003 2199
7787 1991 1669
7527 1990 4791
8812 1995 3158
4836 2001 1217
7963 1990 2729
8677 1999 2961
6333 2001 2537
4357 1994 4987
7743 2002 1235
3832 1992 2053
5708 2002 3098
5575 1993 3797
3229 1995 3305
6339 1992 1729
9575 1994 3685
6580 1999 3355
8037 2003 3100
7932 1991 2784
3031 1992 4356
9757 1992 2781
9393 1994 3238
7130 2000 1460
9742 1995 1762
3026 1990 4178
4716 1995 1259
5071 1990 3215
5684 1998 1010
6316 2002 1276
6816 1997 2421
4506 1999 2796
3493 1990 4139
4233 2000 2222
5877 1993 3573
4147 2003 2157
9076 2002 4227
4798 1998 4555
8647 2003 4752
6594 1996 4212
8175 2003 3578
8661 2003 2776
8185 1995 3288
4963 1994 4209
3224 1999 2165
5787 2003 4873
6400 2000 3792
8359 2001 3830
4930 2003 1317
4588 1992 1563
5836 2003 3149
4965 1990 1686
8775 2001 2889
5932 1997 2048
9300 1990 4646
4752 1991 1538
3810 2002 4487
8876 1999 3166
8527 1997 3376
9646 1993 4183
9127 1998 4751
6288 2000 3200
7446 1993 4536
5551 1996 3508
3941 1994 1817
4522 1997 1174
5561 1992 2372
7136 1998 2535
5203 1997 2282
8600 1999 4173
7966 1993 1372
5434 2002 4112
3938 1998 2397
5577 1991 4849
8759 1990 3206
8527 1999 4569
6488 1992 3173
6001 1991 1612
6910 1990 2112
4743 2002 2419
4562 2002 4074
7906 1991 2059
9784 1993 1731
6548 1996 1032
8571 2001 1522
8446 1990 3419
7753 1994 3310
3834 1999 2985
9193 1999 2959
6825 2002 1319
9155 2000 1643
6429 1992 2639
3451 2001 1415
5438 1999 2032
9703 1998 4036
9126 1992 2889
9514 1994 4721
8209 1996 2088
4022 1996 4114
9464 1990 3770
9687 2001 2598
9111 1992 2594
6742 1995 4042
7661 1993 4386
4951 2002 4641
9061 2003 2103
4599 1995 4670
4277 1992 4417
3496 1996 4237
9682 1993 4384
3619 1996 3034
3349 2002 1010
7730 1996 4170
8687 1999 4993
7234 2003 4397
7021 1999 1713
5882 1996 1572
9892 2002 2249
8054 1994 3169
3112 2003 2054
4604 1996 1810
5259 1993 2728
4932 1993 1341
5708 2002 1448
4684 2000 1501
5938 1994 1178
7487 1996 2602
6900 2002 2128
9878 1998 4027
4950 2002 4869
8653 1990 4959
9541 1999 2299
5680 1992 1032
6344 1997 4183
5909 1995 2788
4803 1992 2347
3309 1995 4025
6775 2003 4430
4451 2002 3698
3147 1995 4238
7529 1993 1837
5397 1993 2918
9576 1992 3317
5969 1990 3194
7726 1995 3508
6328 1996 2194
9843 1998 1560
6846 1997 4394
8479 1991 2564
8161 1994 1660
6051 1992 4786
7909 2000 1416
8893 2002 1621
9823 1992 3232
9535 2000 4719
6546 1995 1106
6254 2001 3115
4353 1998 4417
5114 1993 3394
9840 1997 2881
5464 1995 3480
9889 1999 2096
9674 1991 3023
6093 1999 3919
6358 1991 2363
8974 1991 1502
3480 1992 2735
7929 1995 2708
8248 2003 3305
3868 2000 4910
5170 1992 2192
3383 1997 3981
6486 1998 2556
8416 1996 3676
8323 1996 2776
6337 1998 4805
7122 2003 3061
8906 1992 4610
7859 1995 1716
7446 1991 3256
5446 1996 1989
6914 2001 3793
7381 1999 1876
7162 1990 1868
6747 1996 1711
7478 2001 3384
8066 1998 1921
4711 1998 1074
3823 1999 2364
3930 1990 2355
6932 2001 3359
4397 1995 2767
6571 1990 2786
4212 1991 2734
4328 1998 1156
9249 1995 4872
7412 1992 2808
9978 2000 4513
8533 1992 1494
6224 1991 4450
7252 1994 1253
7397 1996 3590
5019 1990 1216
9096 1998 2976
9679 2001 2992
3909 1999 2274
7803 1998 4164
3014 2001 2080
6489 1992 3887
3973 2002 4181
9232 1998 3119
5366 1993 2279
3984 1990 3847
3295 2003 2931
5335 1996 1308
6211 1992 1672
6466 2000 4927
5561 1990 4452
5254 2003 4949
8472 2003 1308
5770 1994 4220
3297 2003 1564
5506 2003 4215
5174 1992 4187
3881 1992 2157
4124 2003 2811
7369 1995 4035
8199 1994 3019
8162 2002 2454
5911 1996 2462
4634 1997 4260
9737 2001 3764
9754 1992 4429
6099 1997 2073
7592 1995 4498
4559 2002 3389
9618 1994 4588
5805 1991 4632
9659 1994 2500
8242 1992 1487
3703 1992 3807
4775 1996 1234
8531 1999 4726
7076 2000 2383
9942 1991 3628
3329 1996 3531
5981 1999 3971
4577 2000 1827
8409 1991 1758
7309 1990 3159
4247 1998 1187
9124 2001 2443
9895 1990 1380
5493 2003 1992
9980 1990 4030
4190 2001 3039
3003 1995 2220
7831 2002 2607
3894 1994 2102
3596 1996 3162
7461 2003 1542
8281 1994 3292
6157 1990 1494
9578 2002 4093
6770 2003 4361
9846 1998 3659
9731 1997 1875
3259 1997 1131
6968 2003 1959
5583 1993 2831
3918 1996 2305
7681 2000 1799
5228 1993 2038
7168 2002 2933
8800 1997 4897
5048 1999 1219
7565 1990 2439
9810 2001 3845
8739 2002 4088
5437 2002 1319
6107 1991 1462
6570 2000 1515
9334 2000 2662
4344 2001 4050
6004 1995 3986
7744 2000 4829
6706 1995 4918
7325 1991 2236
7076 1990 4558
7943 1993 2755
8530 2003 4773
6969 1992 2921
8859 1990 1965
8230 1995 2064
9278 1999 4590
3193 1990 4431
5930 2002 1148
8895 1995 2889
5431 1992 4026
8428 1995 4848
6049 1998 1026
4617 2001 3665
7878 1991 4314
6930 1994 4343
6963 2002 1316
5545 1993 2986
3788 1998 1468
6505 1990 4488
4489 2001 2056
6609 1997 3776
3210 1996 1002
3249 1993 3435
6024 1993 3599
6797 2001 2331
4811 1994 4998
3020 1994 4609
5167 1999 3110
5300 1999 3048
8340 1998 4591
6994 1996 2970
6383 1998 4661
7132 2000 1147
3612 1998 2303
3099 1998 3099
4801 1991 3369
6901 1992 1902
7838 2001 1427
6338 1994 4931
5768 2002 1965
4150 1993 4565
4432 1992 3254
9890 1998 4152
6350 1998 1840
7220 2002 3896
5556 1992 4945
4137 1997 2398
6293 2002 4338
9216 1993 2545
8445 1991 1412
6621 1992 3014
5601 1999 1574
7348 1993 4606
5846 2002 4825
5917 1998 3027
8514 1995 2349
3571 1997 4518
5174 1996 3751
8044 1992 4599
4012 2001 2995
5025 1991 4113
7497 1991 1597
4857 1995 3832
6300 1994 4000
5352 1996 2436
9187 1999 2868
8505 1996 1774
5207 1992 3243
4014 2003 1519
4371 1998 4800
4374 1996 4979
8103 1994 3689
9257 1998 3305
4046 2001 2765
7282 1992 1313
8047 1993 4530
7640 1991 3851
8417 2001 4370
5477 1991 2431
4987 2001 4515
7772 1994 1609
9361 2002 3758
8518 2001 1346
3174 1993 4589
9850 1999 4028
9093 2003 4460
3078 1991 4207
5255 2000 2215
8886 1995 2998
7005 2002 3863
7522 1999 3319
9822 2000 3994
4365 1992 1746
5745 1995 4875
9237 2001 1853
8825 2003 3463
8560 1999 2767
3656 1991 4807
6115 1994 3821
4313 1995 3389
7991 2003 1394
7214 1994 2646
4455 2003 3728
8087 1990 2719
9586 1990 4338
4433 2000 2248
6470 2003 2622
5983 2000 3318
5502 2003 1921
6371 1993 3272
9459 1999 2804
7615 1995 4320
5301 1995 2557
6901 2001 4601
8343 1998 3237
6559 1990 3713
5920 1996 3959
9464 1990 2362
9037 2001 2639
5977 1997 3301
8543 2001 3704
6281 1994 1980
5229 1990 3545
8482 1990 1325
4984 1997 2295
8329 1996 2751
6584 1996 2160
9886 1993 4511
7257 1990 1892
8909 1996 4018
8565 1994 3281
8621 1993 2377
4432 1998 2108
6492 2001 4559
8432 2002 1062
4274 2003 4750
8356 1995 4869
9866 1997 1505
3717 1998 3090
4078 1998 2161
5559 2002 1650
5715 1999 3930
5222 1990 1479
3285 2003 4970
9389 1999 3450
6055 2002 4823
3062 2003 3812
3787 2001 3688
6694 2003 4675
4921 1990 2507
3789 2000 4594
6264 2002 1106
8484 1996 3716
8572 1993 3184
6771 1997 4183
9579 2002 2593
5852 1995 2229
3828 1996 2627
7496 1994 1109
9015 1991 2563
4450 1995 1640
8780 2003 2535
4129 1992 2558
6613 2002 3969
9931 2002 3596
7947 2003 1669
8848 1995 2519
9797 1997 2389
3881 2001 4709
7791 1997 3410
3884 1991 4852
9000 1990 1852
4859 1991 2783
5364 1996 3911
5145 1997 1644
3496 1991 1005
9245 1991 4207
3933 1990 3565
3131 1997 2458
8972 2003 4830
7133 2001 3128
7037 1995 1602
3591 1998 3027
3762 2000 3778
6166 1994 3998
9985 1995 4470
4312 1995 1420
6777 2001 4704
3261 2002 1575
7819 2002 4965
5347 2001 3995
9090 1994 4312
6982 1998 4121
9793 1998 3215
4642 1998 1599
5583 1994 3703
7701 2001 3206
6249 1993 1447
6695 1999 4711
5842 1995 1562
4564 2003 4297
6845 2001 2872
9040 2003 2995
6603 1994 1669
7279 1994 1755
7257 1995 2342
8717 1990 1637
3805 2001 1992
5704 1992 1778
9420 1998 3334
6335 1999 4532
7231 2000 4634
4683 1999 1921
5073 2002 4978
4596 1999 4553
5542 1997 1299
4781 2001 1774
8856 2001 2578
4673 1995 1292
6257 2002 2155
7065 1990 3355
8866 1994 3478
4717 1992 1369
3056 1994 1150
7806 2002 3093
4327 2003 3780
3405 1996 1941
6081 2002 1402
3903 1994 3504
5855 2000 4020
9359 1990 2418
8604 1999 2341
9766 1995 3113
4152 1991 4497
9082 1999 3329
7573 1998 4091
9280 1999 3011
6472 1993 2725
4172 2001 1708
4301 2003 3615
6829 1991 1409
7143 1995 4242
3901 1992 1373
5538 1990 4608
8578 1999 2425
9173 1990 2182
5085 2000 1354
9550 1997 2847
3225 1996 2006
3642 1992 1431
7226 1996 4561
4234 1992 1697
4476 1998 3854
8690 1998 1826
9366 1991 3500
6218 1994 4490
5883 1998 4843
9067 1995 4365
6950 2000 4181
9390 1990 1336
6646 1995 3270
7272 1998 1313
4985 1990 1743
6495 1990 3855
8731 1990 1649
8735 1992 2574
8129 1995 4677
7319 1999 3192
3148 1991 1993
5710 2000 3760
4506 1998 3695
4183 1993 3702
9098 1992 2693
9912 1995 2630
4597 1998 3195
6462 1998 1983
5121 1992 3570
4890 1998 4183
9859 1996 1362
9287 1997 2322
3448 1998 1521
3851 1995 3597
7429 1991 2531
3542 1990 1526
3908 1998 3133
3839 1994 4059
4592 1996 4484
9727 1992 4525
5744 1997 1552
3249 1996 2644
4625 1996 2356
8608 1999 4101
7700 1990 2857
5560 2001 1834
8456 1990 3596
8574 1995 1386
6906 1991 3148
7501 1997 4196
7849 1992 3143
6171 1990 3553
4233 1993 1264
9580 2002 3065
7550 1995 1846
3594 2003 3933
8799 1996 1334
4303 1999 3797
6512 2001 1094
7662 2002 3779
8438 2003 3123
3338 1999 3162
7781 1993 3602
6747 1990 3288
6946 1997 3795
9700 2001 2387
7278 1998 1356
6095 1996 3021
6288 1999 3226
3588 1994 3099
9837 1997 2582
3246 1991 2520
4559 1992 1618
7187 2002 3430
5254 1999 4765
3358 1990 3555
9488 2001 1513
8783 2002 2830
3161 2003 1378
5884 1990 2379
8503 2003 3818
8828 1993 4679
8649 1994 2069
3097 2003 1880
8282 1990 1974
3036 1992 4909
9201 1995 4571
9734 1991 2859
4068 2002 1802
8093 1999 4440
5447 1991 3371
5638 2000 4686
5332 1999 3214
9647 1995 2014
6160 1995 4144
4806 1990 4925
5573 1995 2487
7355 1994 2409
3438 1998 2127
6187 1992 4088
5436 1999 2456
4346 1994 1929
6949 1994 2286
8656 1993 4438
9985 1994 1379
8227 1991 4362
3687 1993 4527
7546 2000 1524
7163 1995 2778
3968 1990 3077
9749 2000 1153
7358 1995 3353
5981 2002 1739
4275 1996 3205
7414 1994 3635
8932 1991 1582
3701 2002 4950
6724 1993 1314
6126 1994 1742
6264 1998 3952
6578 1992 3334
5505 1994 2273
7038 1992 4515
7911 1999 3463
6808 2000 3923
7069 1993 1817
3049 1996 4980
7914 1991 2327
5357 1999 3186
3960 1999 1804
6426 2001 1985
4581 1999 1314
9365 2001 1857
4105 1998 3837
4264 1997 3859
3594 2002 3677
5587 1993 1968
6812 1999 4954
3658 1991 1028
5906 1991 3469
9020 1991 2212
3003 1991 2077
3253 1992 4748
9552 1994 2125
6174 2000 3899
5202 1994 4048
7574 1997 4795
4119 1994 2388
3296 1997 2964
7944 1998 3678
9518 1994 4065
5723 1997 3359
3771 1990 1251
4441 1991 2282
9296 1995 3647
6538 1993 2434
6637 1990 1895
3441 1993 4443
6885 1990 3928
3343 2002 3186
9636 2000 3396
6784 1991 2835
3664 1990 2315
4739 2003 3800
8048 1997 3228
4416 1992 3221
5672 2001 2040
7248 1998 2146
7017 2002 2522
3891 2000 1052
4932 1997 4143
9870 1997 4169
9074 1999 3357
9419 1990 1289
4980 1997 1067
6608 2002 3152
3713 2000 3438
9091 1993 2021
7936 1999 1281
9119 1993 4568
7575 2002 1174
4595 1999 2631
8881 1999 1337
3691 1992 1227
3344 1998 2092
5677 2001 2107
5539 1994 2249
6908 1990 1259
6898 2000 1481
4263 2001 4091
8935 1991 2336
4871 1991 2990
6119 1991 3550
5429 1996 1407
9427 1992 3524
6528 1991 2874
8777 1998 2313
7364 2003 3431
7447 1993 4961
8743 2001 4919
5626 1996 1686
8903 1997 4127
7968 2001 3683
3965 1992 2450
5756 2001 1866
5166 1996 4420
4246 1997 3795
3964 1995 1837
3919 1990 3970
7375 1998 3209
8523 1992 2216
3211 1992 3684
9940 2002 2890
7957 2000 2886
4512 2002 1106
8882 1998 4814
6253 1996 4369
8443 1992 1750
8019 1998 1953
8339 1998 1949
7688 1998 3240
8073 1990 2975
4719 1996 1220
7386 1996 4351
6938 2003 3442
7446 2001 4492
6935 1999 4865
7758 1996 4639
7292 2002 1447
3995 1991 3860
6006 1992 2065
3277 2000 3795
5700 1995 4403
7005 2002 4843
5206 1997 1413
4387 1997 1709
3089 1991 2414
8532 1994 4416
6951 2001 2122
8047 1991 2014
5785 1990 3540
5686 1993 4754
6601 2001 2321
6538 1994 2662
3877 2002 1105
5050 1995 3276
6691 2001 4217
6977 1996 4185
3049 1996 2641
6270 1990 3622
3076 2001 3993
5260 1994 3308
5396 1999 1163
5096 2002 3360
9693 2000 1207
3812 2000 1822
8577 2003 1303
9697 1999 3913
4997 1997 3630
7445 1992 2543
9052 1991 4123
7521 1995 3010
3765 1992 3708
6538 1999 2276
5203 2003 1687
6496 1999 1001
4416 1996 2022
7414 1990 3223
4014 2001 1693
4766 1995 3080
7944 1992 4235
5651 1990 3220
8527 1996 3044
4881 2003 2357
4497 1997 4203
7746 1991 2532
5372 1992 1494
9655 2000 1864
5662 1996 2798
3114 2001 1228
8202 1993 3433
5927 1994 2377
8243 1998 3325
3980 2000 4410
3043 1996 2237
5311 1993 2453
6509 1991 3102
7362 1997 4641
9299 1993 4825
6209 2003 3881
7242 1990 2905
3623 2001 2445
7631 1990 4968
3543 2001 1291
5867 1993 3379
3051 1996 4595
5031 2002 3141
6042 1990 3734
7755 1999 1110
9368 1999 1947
5929 1990 4327
4467 2000 3633
3745 2002 1314
4729 2002 4059
4357 1994 2215
6420 1997 3207
4645 1992 3842
3915 1997 3689
7772 1993 1040
8649 1997 4181
4005 1997 4762
7312 1994 2079
7481 1996 2003
8000 1996 2247
9385 1990 4156
6122 2002 2842
8450 1998 3798
